state_fips,county_fips3,name,homeown,share65,frac,medinc,pop
01,115,"St. Clair County, Alabama",0.7989,0.1627,0.2527,58308,87989
01,043,"Cullman County, Alabama",0.7481,0.1824,0.1532,44918,82853
01,069,"Houston County, Alabama",0.6570,0.1724,0.4849,47580,104702
01,125,"Tuscaloosa County, Alabama",0.6375,0.1287,0.5177,53326,207305
01,031,"Coffee County, Alabama",0.6574,0.1655,0.4723,55637,51662
01,021,"Chilton County, Alabama",0.7450,0.1601,0.3427,47468,44055
01,037,"Coosa County, Alabama",0.7924,0.2259,0.4671,38990,10757
01,055,"Etowah County, Alabama",0.7259,0.1874,0.3679,44637,102748
01,075,"Lamar County, Alabama",0.7563,0.2148,0.2487,38364,13885
01,013,"Butler County, Alabama",0.6995,0.1967,0.5305,40688,19828
01,127,"Walker County, Alabama",0.7725,0.1902,0.2040,43629,64110
01,063,"Greene County, Alabama",0.6706,0.2130,0.3384,24145,8324
01,011,"Bullock County, Alabama",0.7112,0.1600,0.3940,37785,10248
01,017,"Chambers County, Alabama",0.6746,0.1922,0.5341,42289,33660
01,099,"Monroe County, Alabama",0.6364,0.1928,0.5252,30441,21270
01,079,"Lawrence County, Alabama",0.7766,0.1814,0.3922,44886,33058
01,081,"Lee County, Alabama",0.6161,0.1160,0.4901,51463,161152
01,093,"Marion County, Alabama",0.7514,0.2105,0.1541,35930,29866
01,107,"Pickens County, Alabama",0.7525,0.1847,0.5508,39848,20243
01,119,"Sumter County, Alabama",0.6407,0.1746,0.4207,24320,12797
01,073,"Jefferson County, Alabama",0.6270,0.1543,0.5658,53901,659680
01,023,"Choctaw County, Alabama",0.8091,0.2261,0.5010,35892,12925
01,059,"Franklin County, Alabama",0.7079,0.1686,0.3780,43514,31466
01,091,"Marengo County, Alabama",0.7148,0.1930,0.5116,33241,19321
01,113,"Russell County, Alabama",0.6018,0.1385,0.5945,42443,57952
01,019,"Cherokee County, Alabama",0.7734,0.2243,0.1560,41919,25903
01,039,"Covington County, Alabama",0.7447,0.2077,0.2879,42189,37200
01,041,"Crenshaw County, Alabama",0.7548,0.1885,0.4409,43163,13844
01,047,"Dallas County, Alabama",0.5934,0.1739,0.4292,33845,39149
01,077,"Lauderdale County, Alabama",0.6814,0.1969,0.2709,48094,92556
01,085,"Lowndes County, Alabama",0.7426,0.1841,0.3862,30036,10079
01,087,"Macon County, Alabama",0.6548,0.1932,0.2934,33370,18708
01,083,"Limestone County, Alabama",0.7762,0.1513,0.3912,59686,94727
01,117,"Shelby County, Alabama",0.8053,0.1486,0.3750,77799,213432
01,133,"Winston County, Alabama",0.7941,0.2134,0.1205,35788,23784
01,003,"Baldwin County, Alabama",0.7525,0.1998,0.2988,58320,212830
01,051,"Elmore County, Alabama",0.7326,0.1485,0.4184,60891,81144
01,071,"Jackson County, Alabama",0.7552,0.1950,0.1999,41769,51852
01,121,"Talladega County, Alabama",0.7129,0.1748,0.5020,41325,80387
01,129,"Washington County, Alabama",0.8265,0.1842,0.5129,41370,16541
01,027,"Clay County, Alabama",0.7545,0.2023,0.3292,40845,13337
01,103,"Morgan County, Alabama",0.7272,0.1712,0.4041,52156,119213
01,109,"Pike County, Alabama",0.6228,0.1484,0.5505,37446,33333
01,033,"Colbert County, Alabama",0.7219,0.1943,0.3612,48065,54771
01,045,"Dale County, Alabama",0.6009,0.1640,0.4848,47214,49277
01,065,"Hale County, Alabama",0.7584,0.1875,0.4912,34046,14809
01,049,"DeKalb County, Alabama",0.7153,0.1666,0.3304,40440,71310
01,053,"Escambia County, Alabama",0.6832,0.1772,0.5317,36275,37057
01,111,"Randolph County, Alabama",0.7665,0.2041,0.3931,43395,22647
01,097,"Mobile County, Alabama",0.6455,0.1578,0.5480,47583,414114
01,105,"Perry County, Alabama",0.7186,0.1907,0.4334,23447,9293
01,029,"Cleburne County, Alabama",0.7613,0.1944,0.1390,44741,14916
01,035,"Conecuh County, Alabama",0.7610,0.2216,0.5213,37837,12394
01,005,"Barbour County, Alabama",0.6090,0.1857,0.5628,32525,25361
01,007,"Bibb County, Alabama",0.7442,0.1593,0.3949,47542,22493
01,015,"Calhoun County, Alabama",0.7007,0.1722,0.4357,47255,114618
01,025,"Clarke County, Alabama",0.7010,0.1939,0.5125,37404,24128
01,057,"Fayette County, Alabama",0.7726,0.2084,0.2728,39856,16494
01,101,"Montgomery County, Alabama",0.5838,0.1459,0.5486,50124,226941
01,095,"Marshall County, Alabama",0.7018,0.1683,0.3272,45983,95643
01,009,"Blount County, Alabama",0.7878,0.1790,0.2357,49358,57681
01,067,"Henry County, Alabama",0.8333,0.2209,0.4502,50017,17133
01,089,"Madison County, Alabama",0.6684,0.1467,0.5193,65449,362276
01,001,"Autauga County, Alabama",0.7329,0.1496,0.4058,58731,55380
01,123,"Tallapoosa County, Alabama",0.7486,0.2098,0.4521,45828,40541
01,061,"Geneva County, Alabama",0.7200,0.1997,0.2859,41732,26417
01,131,"Wilcox County, Alabama",0.6790,0.1897,0.4456,31014,10681
02,100,"Haines Borough, Alaska",0.6643,0.2514,0.3690,58059,2518
02,110,"Juneau City and Borough, Alaska",0.6478,0.1253,0.5283,88390,32227
02,290,"Yukon-Koyukuk Census Area, Alaska",0.7241,0.1432,0.3902,41413,5377
02,068,"Denali Borough, Alaska",0.8157,0.0931,0.2759,81719,2246
02,105,"Hoonah-Angoon Census Area, Alaska",0.7547,0.2052,0.6021,59803,2139
02,275,"Wrangell City and Borough, Alaska",0.6787,0.2274,0.5101,53894,2502
02,050,"Bethel Census Area, Alaska",0.5816,0.0717,0.2525,53553,18134
02,185,"North Slope Borough, Alaska",0.5265,0.0685,0.5381,79306,9792
02,220,"Sitka City and Borough, Alaska",0.5926,0.1516,0.5527,73682,8640
02,090,"Fairbanks North Star Borough, Alaska",0.5892,0.0979,0.4802,76992,99072
02,130,"Ketchikan Gateway Borough, Alaska",0.6155,0.1486,0.5331,72728,13800
02,170,"Matanuska-Susitna Borough, Alaska",0.7707,0.1133,0.3519,75493,105369
02,180,"Nome Census Area, Alaska",0.6048,0.0703,0.3337,61048,9988
02,070,"Dillingham Census Area, Alaska",0.6202,0.1006,0.3669,56898,4961
02,282,"Yakutat City and Borough, Alaska",0.6621,0.1448,0.6166,71607,649
02,164,"Lake and Peninsula Borough, Alaska",0.7150,0.0782,0.3766,44135,1393
