vintage,state_fips,geo_type,geo_id,name,tenure_tot,tenure_own,pop,medinc,nhwhite,nhblack,nhasian,hisp,pop65
2010,06,county,047,"Merced County, California",73586,41135,250699,43844,82907,8902,18253,134778,22636
2010,06,county,049,"Modoc County, California",3977,2790,9605,34588,7610,96,124,1261,1812
2010,06,county,051,"Mono County, California",5283,2978,13905,55087,9644,102,34,3484,1157
2010,06,county,053,"Monterey County, California",124963,66731,407435,59271,139535,12089,24523,218868,42555
2010,06,county,055,"Napa County, California",49179,31996,134051,67389,78109,2848,8519,41074,20021
2010,06,county,057,"Nevada County, California",41255,30531,98186,57121,85681,370,1247,7913,18243
2010,06,county,059,"Orange County, California",984503,599032,2965525,74344,1349803,45009,517048,973899,331871
2010,06,county,061,"Placer County, California",129153,94206,336477,74447,259985,4220,19406,41206,49765
2010,06,county,063,"Plumas County, California",10090,6615,20392,44000,17511,198,191,1593,3925
2010,06,county,065,"Riverside County, California",666906,467086,2109464,57768,863965,124715,118185,933529,244923
2010,06,county,067,"Sacramento County, California",508499,302429,1395144,56439,693823,139229,196168,289636,152525
2010,06,county,069,"San Benito County, California",16812,10807,54492,65771,21377,493,1242,29835,5129
2010,06,county,071,"San Bernardino County, California",596125,388167,2005287,55845,695292,170492,120343,960138,171357
2010,06,county,073,"San Diego County, California",1061789,593945,3022468,63069,1500807,145787,320667,940777,337724
2010,06,county,075,"San Francisco County, California",335956,126028,789172,71304,332062,47867,263278,116075,108173
2010,06,county,077,"San Joaquin County, California",212905,131357,673613,54341,251081,46449,93909,253771,68012
2010,06,county,079,"San Luis Obispo County, California",102434,62880,265577,57365,191596,5357,7867,52751,39100
2010,06,county,081,"San Mateo County, California",255758,156149,704327,85648,308979,19410,169912,172151,93047
2010,06,county,083,"Santa Barbara County, California",141793,76757,416051,60078,207440,7205,19672,170439,52907
2010,06,county,085,"Santa Clara County, California",596747,353399,1739396,86850,636231,41704,542920,456367,186574
2010,06,county,087,"Santa Cruz County, California",93802,55878,256901,65253,156672,2380,10148,79100,27471
2010,06,county,089,"Shasta County, California",69100,45574,176906,43944,146929,1451,4344,14162,28712
2010,06,county,091,"Sierra County, California",1437,1151,3366,52950,3042,37,5,264,678
2010,06,county,093,"Siskiyou County, California",20097,13098,44690,36981,35854,575,564,4454,8555
2010,06,county,095,"Solano County, California",139011,91447,410042,68409,171126,59514,58114,94832,44310
2010,06,county,097,"Sonoma County, California",184033,114787,474047,63274,320480,6629,18438,112084,63395
2010,06,county,099,"Stanislaus County, California",163841,101826,509682,51094,245803,13230,26026,206983,52736
2010,06,county,101,"Sutter County, California",31373,19380,93420,50944,48648,1452,12424,25945,11399
2010,06,county,103,"Tehama County, California",23510,15316,62575,38137,45764,374,693,13017,9769
2010,06,county,105,"Trinity County, California",5889,4328,13701,38725,11482,54,161,892,2483
2010,06,county,107,"Tulare County, California",126664,75081,429404,43851,146711,5362,13894,253058,40073
2010,06,county,109,"Tuolumne County, California",22192,15580,56074,47462,45999,1238,525,5740,10814
2010,06,county,111,"Ventura County, California",264305,175452,809080,75348,405113,13043,54081,315604,91302
2010,06,county,113,"Yolo County, California",69386,37548,196418,57077,100763,4408,24964,57963,18747
2010,06,county,115,"Yuba County, California",23750,14214,71160,46807,42363,1749,4823,17072,6928
2010,06,county,001,"Alameda County, California",532026,293277,1477980,69384,519461,183122,380906,323307,159693
2010,06,county,003,"Alpine County, California",410,301,1176,63478,746,0,48,63,116
2010,06,county,005,"Amador County, California",14715,11372,38327,54758,30784,705,428,4566,7389
