state_fips,place_fips5,name,homeown,share65,frac,medinc,pop
01,74592,"Talladega city, Alabama",0.5511,0.1654,0.5707,27719,15522
01,42640,"Lexington town, Alabama",0.6175,0.1853,0.0831,49583,912
01,20104,"Decatur city, Alabama",0.6363,0.1763,0.5609,48429,54478
01,43120,"Lincoln city, Alabama",0.7946,0.1447,0.4505,64924,6681
01,83400,"Woodland town, Alabama",0.8367,0.3917,0.2620,44167,240
01,25240,"Fairhope city, Alabama",0.7810,0.2342,0.2412,75197,21083
01,61488,"Point Clear CDP, Alabama",0.8928,0.2787,0.5405,56556,2652
01,65208,"Robertsdale city, Alabama",0.5730,0.1322,0.2730,43906,6473
01,29032,"Garden City town, Alabama",0.8519,0.1562,0.0213,38365,557
01,29560,"Georgiana town, Alabama",0.5878,0.2492,0.4488,28750,1806
01,09808,"Brookwood town, Alabama",0.8626,0.0986,0.2352,64226,2139
01,79728,"Walnut Grove town, Alabama",0.6970,0.1501,0.1280,41250,833
01,21184,"Dothan city, Alabama",0.5917,0.1784,0.5353,47081,67894
01,40072,"Kinsey town, Alabama",0.7198,0.1323,0.5705,43684,2199
01,75768,"Theodore CDP, Alabama",0.7818,0.1555,0.3807,53589,6334
01,23344,"Eldridge town, Alabama",0.7600,0.0850,0.2030,55000,153
01,38416,"Jasper city, Alabama",0.6686,0.1835,0.3870,49201,13649
01,39280,"Kansas town, Alabama",0.8953,0.1714,0.0478,51250,245
01,28552,"Fultondale city, Alabama",0.6842,0.1435,0.5340,62825,9179
01,32272,"Gulf Shores city, Alabama",0.5596,0.2372,0.0786,53476,12267
01,73872,"Summerdale town, Alabama",0.7901,0.2405,0.2024,48750,1135
01,32896,"Hammondville town, Alabama",0.7717,0.2418,0.0801,41250,459
01,76872,"Trinity town, Alabama",0.8726,0.1155,0.3956,60691,2493
01,71040,"Slocomb city, Alabama",0.5936,0.2738,0.4355,38229,1852
01,43720,"Livingston city, Alabama",0.3361,0.1138,0.5435,11969,3356
01,71976,"Spanish Fort city, Alabama",0.6135,0.1516,0.2401,83913,8601
01,24256,"Epes town, Alabama",0.9295,0.0195,0.0129,,614
01,29392,"Geiger town, Alabama",0.8068,0.2301,0.6136,37778,239
01,59832,"Pinckard town, Alabama",0.7220,0.2465,0.3313,34904,576
01,31720,"Greensboro city, Alabama",0.5198,0.1689,0.3641,16591,3149
01,77784,"Union Grove town, Alabama",0.8205,0.3103,0.0671,81875,87
01,65016,"Riverview town, Alabama",0.9318,0.3302,0.2191,33333,106
01,59472,"Phenix City city, Alabama",0.5096,0.1259,0.6051,42089,36516
01,14152,"Cherokee town, Alabama",0.7280,0.1889,0.3539,29674,863
01,15472,"Cleveland town, Alabama",0.8199,0.2061,0.4206,41136,1334
01,68016,"Sanford town, Alabama",0.6966,0.0924,0.2581,34063,249
01,71832,"Southside city, Alabama",0.8879,0.1785,0.0907,72687,8811
01,21136,"Dora city, Alabama",0.7458,0.1897,0.4407,35536,2209
01,05812,"Berlin town, Alabama",0.6286,0.1328,0.0372,31951,369
01,39472,"Kellyton town, Alabama",0.8088,0.2849,0.1298,50250,172
01,83640,"Woodstock town, Alabama",0.8513,0.1445,0.2660,64728,1972
01,78232,"Valley Grande city, Alabama",0.8525,0.1510,0.3831,63325,3708
01,81504,"Westover town, Alabama",0.8918,0.1380,0.2123,69219,1660
01,46072,"Magnolia Springs town, Alabama",0.9160,0.3110,0.2585,63295,968
01,15256,"Clay city, Alabama",0.8610,0.1839,0.5034,74387,9888
01,60648,"Pinson city, Alabama",0.8558,0.1370,0.4522,69764,7109
01,77352,"Twin town, Alabama",0.9412,0.2145,0.0457,55000,387
01,19216,"Cusseta town, Alabama",0.8537,0.3222,0.0857,,90
01,43384,"Lisman town, Alabama",0.7708,0.1397,0.0605,33214,580
01,16312,"Coker town, Alabama",0.8494,0.1659,0.1037,71932,687
01,38152,"Jackson city, Alabama",0.6485,0.2094,0.5053,40651,4781
01,20955,"Dodge City town, Alabama",0.7211,0.1805,0.0758,45536,615
