pair_id,state,ballot_text,doc_use_labels
00290ef68c,CA,"College, University Facility A","finance certain school facilities, including the removal of  | finance certain school facilities, including the removal of  | elementary school, middle school and high school facilities "
002f479456,TX,Recreation,"pay for the items shown herein under ""USE AND DISTRIBUTION O | pay interest on funds advanced by the Developers | pay administrative costs and certain other costs and enginee | Proceeds of the Bonds will be used to pay for the items show"
0053fd63a4,TX,School  Building,"construction, renovation, expansion, and equipment of school | payment of costs of issuing the Bonds | Proceeds from the sale of the Bonds will be used for (i) the | Proceeds from the sale of the Bonds will be used for (i) the"
00684e791f,TX,Technology,"Deposit to Construction Fund | Deposit to Interest and Sinking Fund | Underwriters' Discount | Costs of Issuance | constructing, renovating, acquiring, and equipping school fa | paying for professional services associated with the costs o"
0078277f60,TX,Road and Bridge,"acquiring and installing computer equipment and software, in | acquiring and installing telecommunications equipment, inclu | constructing, improving, renovating and equipping County adm | improving, renovating and equipping County jail facilities | improving and renovating County Sheriff facilities | improving and renovating emergency services facilities"
0083804589,TX,Athletic Facilities,"construction, acquisition, renovation and equipment of schoo | purchase of new school buses | purchase of the necessary sites for school facilities | pay costs of issuance related to the Bonds | The Bonds, in the original aggregate principal amount of $16"
008acc0b73,TX,Technology,"designing, constructing, renovating, improving, upgrading, u | the purchase of new school buses | the retrofitting of school buses with emergency, safety, or  | the payment of the costs associated with the issuance of the | Proceeds from the sale of the Bonds will be used for (i ) de"
00a91cc287,TX,Recreation,"water plant improvements | water system improvements | wastewater system improvements | drainage system improvements | administrative and issuance costs, legal fees, fiscal agent’ | Proceeds of the sale of the Bonds will be used by the Distri"
00ad0bd9b5,TX,Parks & Recreation,"constructing and equipping a multi-purpose municipal facilit | constructing and improving streets and roads, including rela | constructing, acquiring and installing drainage improvements | constructing, improving and equipping public safety faciliti | legal, fiscal and engineering fees in connection with such p | purchasing materials, supplies, equipment, machinery, buildi"
00afa37480,TX,School  Building,"Deposit to Project Fund | Costs of Issuance and Underwriters’ Discount | the construction, renovation, acquisition and improvement of | Costs of Issuance and Underwriters’ Discount ($2,021,582) | the construction, renovation, acquisition and improvement of | paying the costs of issuance related to the Bonds"
00b30ade08,TX,School  Building,"Deposit to Construction Fund | Costs of Issuance | Underwriter’s Discount | Deposit to Interest and Sinking Fund | designing, constructing, renovating, improving, upgrading, u | Costs of Issuance"
00ba8020be,TX,Affordable housing.,Construction Fund Deposit | Costs of Issuance | Underwriters' Discount | Construction Fund Deposit | Costs of Issuance | Underwriters' Discount
00c3683657,TX,School Building,"Deposit to Construction Fund | Costs of Issuance | Initial Purchaser’s Discount | Deposit to Debt Service Fund (Accrued Interest & Additional  | construction, acquisition, and equipment of school buildings | renovation to existing school buildings and facilities"
00cd8e96a0,TX,Road,"Deposit to Project Fund | Deposit to Debt Service Reserve Fund | Underwriting Discount | Cost of Issuance (including rounding amount and insurance pr | funding acquisition, purchasing, construction, improvement,  | Deposit to Debt Service Reserve Fund"
00dd8880e4,CA,K-12 School Facility SOS,"repair and renovate outdated classrooms, labs and schools fo | an aggregate principal amount not to exceed $297,800,000 to "
00e99859df,TX,School Building & Buses,"designing, constructing, renovating, improving, upgrading, u | renovating, improving, upgrading, updating, acquiring, and e | acquiring and updating technology equipment | the payment of the costs associated with the issuance of the | Proceeds from the sale of the Bonds will be used for (i) des"
010febb95e,TX,Baseball Park,acquiring or constructing waterworks | wastewater | storm drainage improvements | acquiring or constructing roads and improvements in aid ther | The Utility Bonds constitute the ninth series of unlimited t | The Road Bonds constitute the ninth series of unlimited tax 
0112d58f44,TX,Athletic Facilities Renovations,"for design, construction, rehabilitation, renovation, expans | for design, construction, rehabilitation, renovation, expans | for acquisition, improvement, and updates of technology equi | for design, construction, rehabilitation, renovation, expans | to fund capitalized interest on the Bonds | to pay costs of issuance related to the Bonds"
01136fb23a,TX,Fire Station,"acquiring, constructing, purchasing, renovating, equipping,  | purchasing a ladder truck and related equipment thereto for  | the purchase of materials, supplies, equipment, land, and ri | paying professional services related to the design, construc | designing and constructing street, curb, gutter, and sidewal | completing necessary or incidental utility relocation and dr"
012c0485b9,CA,"College, University Facility C",School Facilities Account | City Facilities Account | Costs of Issuance Fund | Capitalized Interest Subaccount | Debt Service Reserve Fund | Underwriter's Discount
0137c81e0f,TX,Municipal Building,street improvements | improvements to public safety facilities | improvements to park and recreation facilities | professional services rendered in relation to such projects  | Proceeds from the sale of the Bonds will be used for (i) str
0154ab847d,WI,"The purpose of this referendum is to remodel, renovate and add additions to school buildings throughout the District. BE IT RESOLVED by the School Board of the ","improving the infrastructure of all school district building | constructing additions to the Douglas, Webster and Schurz El | acquiring equipment, furnishings and fixtures | The proceeds from the sale of the Notes will be used to prov"
01550b9f9b,TX,Park,Deposit to Project Fund | Costs of Issuance (1) | Funding of Reserve Fund (2) | Deposit to Project Fund | Costs of Issuance (1) | Funding of Reserve Fund (2)
016219ec64,TX,School Building and Buses,"Deposit to Construction Fund | Costs of Issuance | Initial Purchaser’s Discount | Deposit to Debt Service Fund (Additional Proceeds) | construction, acquisition, and equipment of school buildings | purchase of new school buses"
01695326bf,TX,School Building & Buses,"designing, constructing, renovating, improving, acquiring, a | the purchase of new school buses | to pay the costs of issuing the Bonds | Proceeds from the sale of the Bonds will be used for (i) des"
018750f018,CA,K-12 School Facility E,"Project Fund | Reserve Fund(1) | Administrative Expense Fund | Costs of Issuance(2) | street, road and parkway improvements, traffic signals, stor | certain street, road and parkway improvements, traffic signa"
01880d55d7,WI,Constructing a new elementary school with District administrative offices; constructing an addition at Tower Rock Elementary School; remodeling Grand Avenue Ele,Deposit to Project Construction Fund | Costs of Issuance (including Underwriter’s Discount) | Bid Premium available for Debt Service | constructing a new elementary school with District administr | constructing an addition at Tower Rock Elementary School | remodeling Grand Avenue Elementary School to add classrooms
018a0cc00f,TX,Parks and Recreation,"Deposit to the Project Fund | Costs of Issuance (1) | Deposit to Debt Service Fund (additional proceeds) | street and traffic improvements, including, but not limited  | drainage and flood control improvements | animal shelter improvements"
0196971f1b,CA,Other Housing C,to finance facilities to provide affordable housing and prev | provide supportive housing for people experiencing homelessn | help low and middle-income households purchase homes | to finance facilities to provide affordable housing and prev
