state_fips,county_fips,share65,frac,medinc
01,001,0.1429,0.3933,56580.0
01,003,0.1899,0.2957,52387.0
01,005,0.1733,0.5558,31433.0
01,007,0.1524,0.3974,40767.0
01,009,0.1737,0.2213,50487.0
01,011,0.1532,0.4617,28251.0
01,013,0.1856,0.5337,33868.0
01,015,0.1642,0.4259,42091.0
01,017,0.1854,0.5292,35560.0
01,019,0.2170,0.1557,39144.0
01,021,0.1536,0.3361,42767.0
01,023,0.2142,0.5066,35089.0
01,025,0.1837,0.5249,37317.0
01,027,0.1948,0.3398,38908.0
01,029,0.1855,0.1390,42136.0
01,031,0.1611,0.4587,46858.0
01,033,0.1900,0.3535,41171.0
01,035,0.2123,0.5334,29981.0
01,037,0.2105,0.4791,36078.0
01,039,0.1997,0.2885,36355.0
01,041,0.1801,0.4368,36759.0
01,043,0.1778,0.1436,39290.0
01,045,0.1576,0.4692,45294.0
01,047,0.1639,0.4356,29682.0
01,049,0.1614,0.3222,37305.0
01,051,0.1417,0.4123,53548.0
01,053,0.1681,0.5309,36840.0
01,055,0.1780,0.3598,42145.0
01,057,0.1996,0.2666,37085.0
01,059,0.1612,0.3686,38535.0
01,061,0.1944,0.2835,36289.0
01,063,0.1948,0.3152,25398.0
01,065,0.1764,0.5067,35470.0
01,067,0.2096,0.4552,42501.0
01,069,0.1651,0.4743,43568.0
01,071,0.1890,0.1957,40201.0
01,073,0.1460,0.5596,48415.0
01,075,0.2110,0.2461,36520.0
01,077,0.1874,0.2656,43008.0
01,079,0.1744,0.3917,41771.0
01,081,0.1069,0.4844,46442.0
01,083,0.1428,0.3806,55060.0
01,085,0.1727,0.4049,31117.0
01,087,0.1770,0.3189,29522.0
01,089,0.1400,0.5109,59117.0
01,091,0.1869,0.5337,35389.0
01,093,0.2048,0.1506,34977.0
01,095,0.1644,0.3108,40599.0
01,097,0.1494,0.5423,42530.0
01,099,0.1833,0.5341,35163.0
01,101,0.1372,0.5472,42666.0
01,103,0.1628,0.3930,47234.0
01,105,0.1824,0.4544,26218.0
01,107,0.1747,0.5496,33160.0
01,109,0.1423,0.5426,34442.0
01,111,0.1966,0.3925,37333.0
01,113,0.1294,0.5795,36124.0
01,115,0.1568,0.2472,53558.0
01,117,0.1360,0.3614,70879.0
01,119,0.1631,0.4187,25931.0
01,121,0.1657,0.4956,37911.0
01,123,0.2009,0.4526,39051.0
01,125,0.1211,0.5100,47868.0
01,127,0.1822,0.1949,37305.0
01,129,0.1755,0.5133,42658.0
01,131,0.1781,0.4233,23014.0
01,133,0.2084,0.1143,36497.0
02,013,0.0848,0.7453,57015.0
02,016,0.0578,0.7644,80695.0
02,020,0.0943,0.6155,77791.0
02,050,0.0674,0.3129,44849.0
02,060,0.1239,0.6654,66373.0
02,068,0.0957,0.3188,73000.0
02,070,0.0836,0.4742,50753.0
02,090,0.0864,0.4751,70881.0
02,100,0.1912,0.3685,57876.0
02,105,0.1895,0.6378,53726.0
02,110,0.1122,0.5426,82892.0
02,122,0.1477,0.3321,62025.0
02,130,0.1334,0.5463,65314.0
02,150,0.0889,0.6791,67515.0
02,158,0.0559,0.1621,33511.0
02,164,0.0991,0.5594,42120.0
02,170,0.0999,0.3447,76601.0
02,180,0.0742,0.4134,52952.0
