unit9,year,ltd_iss_k,ltd_out_k
051001001,2023,78807.0,2215349.0
051004004,2023,429.0,53954.0
051005005,2023,-3870.0,38604.0
051007007,2023,8330.0,488587.0
051009009,2023,-21.0,57088.0
051010010,2023,-242036.0,327790.0
051011011,2023,1882.0,12759.0
051012012,2023,13978.0,14288.0
051013013,2023,,23021.0
051014014,2023,-930.0,3131.0
051015015,2023,32841.0,273379.0
051016016,2023,1606.0,20382.0
051017017,2023,,11562.0
051019019,2023,51855.0,6621237.0
051020020,2023,9457.0,251432.0
051021021,2023,6371.0,194887.0
051022022,2023,,9864.0
051023023,2023,41710.0,93463.0
051024024,2023,28975.0,86315.0
051027027,2023,578.0,378364.0
051028028,2023,-1153.0,73956.0
051029029,2023,-126.0,69686.0
051030030,2023,426445.0,1448106.0
051031031,2023,70328.0,408478.0
051032032,2023,,10894.0
051033033,2023,-16752.0,2891590.0
051034034,2023,178011.0,3215401.0
051035035,2023,,24999.0
051036036,2023,-4080.0,680623.0
051037037,2023,7850.0,1228255.0
051039038,2023,42775.0,486924.0
051040039,2023,143230.0,885290.0
051041040,2023,-3743.0,1243822.0
051042041,2023,-14838.0,420671.0
051043042,2023,1999.0,3909645.0
051044043,2023,34600.0,360472.0
051045044,2023,1761.0,39827.0
051046045,2023,57.0,22844.0
051047046,2023,924.0,38585.0
051048047,2023,-11865.0,183347.0
051049048,2023,-36858.0,454688.0
051050049,2023,,143930.0
051051050,2023,690.0,11756.0
051052051,2023,7490.0,15138.0
051055054,2023,,28733.0
051056055,2023,3000.0,666555.0
051057056,2023,-1149.0,84233.0
051058057,2023,-2664.0,144133.0
052001009,2023,,1517029.0
052001012,2023,,109986.0
052001006,2023,4668.0,112343.0
052001004,2023,50000.0,53373.0
052001005,2023,-1367.0,266930.0
052004001,2023,,4999.0
052007004,2023,,16049.0
052007008,2023,5297.0,168249.0
052007401,2023,,44013.0
052007009,2023,182325.0,700960.0
052010005,2023,90921.0,1053595.0
052010001,2023,,149217.0
052013006,2023,,31705.0
052015001,2023,,137685.0
052019019,2023,-141.0,134608.0
052019015,2023,,144953.0
052019047,2023,349.0,406426.0
052019401,2023,,355149.0
052019004,2023,-75.0,198838.0
052019007,2023,,178808.0
052019017,2023,,221241.0
052019026,2023,78026.0,3191180.0
052019027,2023,3695599.0,39176394.0
052019028,2023,,212593.0
052019036,2023,,468883.0
052019514,2023,94.0,42738.0
052019801,2023,,174410.0
052019008,2023,120000.0,241700.0
052019041,2023,,579741.0
052019035,2023,1691.0,718092.0
052019046,2023,,401910.0
052021002,2023,,32194.0
052021005,2023,-560.0,16690.0
052021501,2023,10459.0,55726.0
052028002,2023,,45909.0
052028001,2023,,20294.0
052030009,2023,,434344.0
052030002,2023,,55384.0
052030015,2023,,68638.0
052030007,2023,,90541.0
052030011,2023,1098.0,172624.0
052030013,2023,,338613.0
052030401,2023,-532.0,84196.0
052030501,2023,-1577.0,55086.0
052030901,2023,-20282.0,919669.0
052030001,2023,45015.0,3254889.0
052031005,2023,85845.0,908548.0
052033009,2023,118782.0,232383.0
052033010,2023,326.0,268104.0
052033203,2023,,1347.0
052033401,2023,-270.0,101598.0
052033601,2023,,188535.0
052033006,2023,-85192.0,654488.0
052033012,2023,58025.0,2022649.0
052034005,2023,,1901362.0
052034001,2023,67961.0,529704.0
052034302,2023,-1450.0,298480.0
052036004,2023,14647.0,293144.0
052036007,2023,300000.0,1148892.0
052036011,2023,,51031.0
052036601,2023,,53697.0
052036701,2023,3054.0,614676.0
052036404,2023,,29696.0
052036010,2023,,100424.0
052037601,2023,15016.0,89765.0
052037001,2023,16240.0,45012.0
052037009,2023,191.0,246816.0
052037010,2023,871287.0,5803365.0
052037002,2023,154332.0,1023603.0
052039001,2023,,246477.0
052039004,2023,19690.0,961018.0
052040002,2023,,62261.0
052041003,2023,8208.0,207605.0
052041007,2023,-116.0,30132.0
052041004,2023,,4295.0
052041013,2023,,302027.0
052041002,2023,,149112.0
052042003,2023,-10124.0,196496.0
052043012,2023,268356.0,3941797.0
052043011,2023,,433370.0
052043004,2023,14244.0,109995.0
052043010,2023,36671.0,192645.0
052043013,2023,,421697.0
