gid,state,name,gfd_year,fips_state,fips_place5,fips_county,fips7,rule_strict,rule_ordinal,rule_threshold,pop,total_rev_k,own_source_k,property_tax_k,ltd_out_k,acs_homeown,acs_share65,acs_frac,acs_medinc,county_dem2p_2020,fog_form,fog_initiative,fog_referendum,fog_partisan,fog_districts,tel_stringency,bc_pct_college,bc_pct_nonwhite,bc_median_home_value,bc_city_dem2p_2020,bc_mayor_pid,nm_docs,nm_par,sec_go_sh,sec_rev_sh,sec_lease_sh,sec_sptax_sh,voted_sh_par,voted_sh_n,council_sh_par,statutory_sh_par,determined_par,nc_share_project,gfd_ltd_iss_0523_k
012001001,AL,AUTAUGAVILLE TOWN,2022,01,03220,01001,103220,1,3.0,50.0,882,604,329,17,0,0.7252,0.2233,0.3993,32159,0.2744,,,,,,,,,,,,,,,,,,,,,,,,
012001002,AL,BILLINGSLEY TOWN,2022,01,06460,01001,106460,1,3.0,50.0,139,133,123,61,757,0.7959,0.3010,0.5052,29375,0.2744,,,,,,,,,,,,,,,,,,,,,,,,
012001003,AL,PRATTVILLE CITY,2023,01,62328,01001,162328,1,3.0,50.0,38286,71023,66675,3406,65160,0.6286,0.1485,0.4310,61110,0.2744,,,,,,,,,,,,,,,,,,,,,,,0.4594,177068
012002001,AL,BAY MINETTE CITY,2023,01,04660,01003,104660,1,3.0,50.0,7894,14379,12499,1253,13466,0.5569,0.1677,0.5213,38971,0.2273,,,,,,,,,,,,,,,,,,,,,,,0.0773,18796
012002002,AL,DAPHNE CITY,2023,01,19648,01003,119648,1,3.0,50.0,28777,52274,49625,7377,26951,0.7107,0.1655,0.4083,71882,0.2273,,,,,,,,,,,,,,,,,,,,,,,0.9463,96593
012002003,AL,ELBERTA TOWN,2022,01,23320,01003,123320,1,3.0,50.0,1753,5309,3144,297,2817,0.6037,0.2586,0.1422,40278,0.2273,,,,,,,,,,,,,,,,,,,,,,,1.0000,108
012002004,AL,FAIRHOPE CITY,2023,01,25240,01003,125240,1,3.0,50.0,23147,102363,51925,7527,0,0.7810,0.2342,0.2412,75197,0.2273,,,,,,,,,,,,,,,,,,,,,,,0.0000,64797
012002005,AL,FOLEY CITY,2023,01,26992,01003,126992,1,3.0,50.0,22063,275041,88932,2366,53744,0.6635,0.2610,0.3756,43614,0.2273,,,,,,,,,,,,,,,,,,,,,,,0.4874,271587
012002006,AL,ROBERTSDALE CITY,2022,01,65208,01003,165208,1,3.0,50.0,7030,22089,8474,281,20913,0.5730,0.1322,0.2730,43906,0.2273,,,,,,,,,,,,,,,,,,,,,,,0.3998,18758
012002007,AL,SILVERHILL TOWN,2022,01,70536,01003,170536,1,3.0,50.0,1285,2655,2313,91,664,0.8317,0.2744,0.2839,55179,0.2273,,,,,,,,,,,,,,,,,,,,,,,,
012002008,AL,SUMMERDALE TOWN,2022,01,73872,01003,173872,1,3.0,50.0,1792,4032,3776,1592,2890,0.7901,0.2405,0.2024,48750,0.2273,,,,,,,,,,,,,,,,,,,,,,,0.5345,1845
012002101,AL,MAGNOLIA SPRINGS TOWN,2022,01,46072,01003,146072,1,3.0,50.0,831,1388,698,67,0,0.9160,0.3110,0.2585,63295,0.2273,,,,,,,,,,,,,,,,,,,,,,,,
012002102,AL,PERDIDO BEACH TOWN,2022,01,59088,01003,159088,1,3.0,50.0,652,143,93,49,32,0.9160,0.3968,0.0970,48750,0.2273,,,,,,,,,,,,,,,,,,,,,,,,33
012002201,AL,SPANISH FORT CITY,2022,01,71976,01003,171976,1,3.0,50.0,9460,12854,8877,623,6817,0.6135,0.1516,0.2401,83913,0.2273,,,,,,,,,,,,,,,,,,,,,,,,250
012002401,AL,ORANGE BEACH CITY,2023,01,57144,01003,157144,1,3.0,50.0,8347,90822,82207,4886,56955,0.7020,0.3351,0.0403,81883,0.2273,,,,,,,,,,,,,,,,,,,,,,,0.4917,154100
012002501,AL,GULF SHORES CITY,2023,01,32272,01003,132272,1,3.0,50.0,15736,73662,72280,4700,233927,0.5596,0.2372,0.0786,53476,0.2273,,,,,,,,,,,,,,,,,,,,,,,0.8428,329851
012002502,AL,LOXLEY TOWN,2022,01,44608,01003,144608,1,3.0,50.0,3329,12823,8742,556,5937,0.7523,0.0972,0.2647,61875,0.2273,,,,,,,,,,,,,,,,,,,,,,,,4463
012003001,AL,BLUE SPRINGS TOWN,2022,01,07672,01005,107672,1,3.0,50.0,86,97,0,0,0,0.9062,0.4051,0.4416,38750,0.4614,,,,,,,,,,,,,,,,,,,,,,,,
012003002,AL,CLAYTON TOWN,2022,01,15376,01005,115376,1,3.0,50.0,2829,1335,1335,0,616,0.5202,0.0992,0.4847,27639,0.4614,,,,,,,,,,,,,,,,,,,,,,,0.0000,
012003003,AL,CLIO CITY,2022,01,15640,01005,115640,1,3.0,50.0,1268,1217,689,46,1500,0.5679,0.2453,0.6072,21736,0.4614,,,,,,,,,,,,,,,,,,,,,,,0.0000,
012003004,AL,EUFAULA CITY,2023,01,24568,01005,124568,1,3.0,50.0,12675,32085,23692,13050,54588,0.5249,0.1915,0.5670,33132,0.4614,,,,,,,,,,,,,,,,,,,,,,,0.0000,26260
012003005,AL,LOUISVILLE TOWN,2022,01,44344,01005,144344,1,3.0,50.0,457,716,492,103,1473,0.4916,0.1705,0.4678,21600,0.4614,,,,,,,,,,,,,,,,,,,,,,,,48
012003101,AL,BAKERHILL TOWN,2022,01,03724,01005,103724,1,3.0,50.0,229,830,830,69,32,0.8776,0.2018,0.4795,47500,0.4614,,,,,,,,,,,,,,,,,,,,,,,0.0000,
012004001,AL,BRENT CITY,2022,01,09136,01007,109136,1,3.0,50.0,4688,4281,2504,99,4301,0.6616,0.1264,0.5153,34283,0.2088,,,,,,,,,,,,,,,,,,,,,,,0.0000,3464
012004002,AL,CENTREVILLE CITY,2022,01,13672,01007,113672,1,3.0,50.0,2559,1198,1198,155,575,0.6505,0.2333,0.3458,43086,0.2088,,,,,,,,,,,,,,,,,,,,,,,,
012004003,AL,WEST BLOCTON TOWN,2022,01,80928,01007,180928,1,3.0,50.0,1228,2667,738,25,3098,0.7288,0.2444,0.2406,33625,0.2088,,,,,,,,,,,,,,,,,,,,,,,0.0000,
012004301,AL,WOODSTOCK TOWN,2022,01,83640,01007,183640,1,3.0,50.0,1630,3218,3001,0,7685,0.8513,0.1445,0.2660,64728,0.2088,,,,,,,,,,,,,,,,,,,,,,,0.2934,618
012005001,AL,BLOUNTSVILLE TOWN,2022,01,07456,01009,107456,1,3.0,50.0,1657,776,776,0,358,0.5840,0.1251,0.4716,36923,0.0965,,,,,,,,,,,,,,,,,,,,,,,,
012005002,AL,HAYDEN TOWN,2022,01,33640,01009,133640,1,3.0,50.0,1358,882,200,22,0,0.8822,0.2042,0.0859,57448,0.0965,,,,,,,,,,,,,,,,,,,,,,,,
012005003,AL,ONEONTA CITY,2023,01,57000,01009,157000,1,3.0,50.0,6805,18525,11078,0,20775,0.4710,0.2477,0.3415,39669,0.0965,,,,,,,,,,,,,,,,,,,,,,,0.8378,30655
012005501,AL,ALLGOOD TOWN,2022,01,01396,01009,101396,1,3.0,50.0,638,103,26,0,0,0.7404,0.1232,0.5022,41667,0.0965,,,,,,,,,,,,,,,,,,,,,,,,175
012005601,AL,SUSAN MOORE TOWN,2022,01,74160,01009,174160,1,3.0,50.0,797,295,295,197,11,0.8423,0.2603,0.4642,41830,0.0965,,,,,,,,,,,,,,,,,,,,,,,,10
012005801,AL,CLEVELAND TOWN,2017,01,15472,01009,115472,1,3.0,50.0,1315,1257,742,0,0,0.8199,0.2061,0.4206,41136,0.0965,,,,,,,,,,,,,,,,,,,,,,,0.0000,
012005802,AL,HIGHLAND LAKE TOWN,2022,01,34480,01009,134480,1,3.0,50.0,410,153,153,75,0,0.8909,0.2837,0.1053,60875,0.0965,,,,,,,,,,,,,,,,,,,,,,,,
012005803,AL,SNEAD TOWN,2022,01,71280,01009,171280,1,3.0,50.0,837,2021,848,76,284,0.7251,0.2273,0.0719,53636,0.0965,,,,,,,,,,,,,,,,,,,,,,,,
012005901,AL,ROSA TOWN,2012,01,66408,01009,166408,1,3.0,50.0,319,26,10,0,0,0.8507,0.1949,0.2850,55500,0.0965,,,,,,,,,,,,,,,,,,,,,,,,
012005902,AL,LOCUST FORK TOWN,2022,01,43888,01009,143888,1,3.0,50.0,1178,709,569,39,0,0.8565,0.2152,0.0161,57344,0.0965,,,,,,,,,,,,,,,,,,,,,,,,
012005903,AL,NECTAR TOWN,2023,01,53448,01009,153448,1,3.0,50.0,379,813,56,0,0,0.8537,0.1649,0.0158,45750,0.0965,,,,,,,,,,,,,,,,,,,,,,,,610
012006001,AL,MIDWAY TOWN,2022,01,48424,01011,148424,1,3.0,50.0,457,46,46,0,100,0.6272,0.1186,0.0732,25125,0.7504,,,,,,,,,,,,,,,,,,,,,,,,
012006002,AL,UNION SPRINGS CITY,2022,01,77880,01011,177880,1,3.0,50.0,3352,609,609,397,0,0.5277,0.1497,0.1478,22290,0.7504,,,,,,,,,,,,,,,,,,,,,,,1.0000,
012007002,AL,GEORGIANA CITY,2022,01,29560,01013,129560,1,3.0,50.0,1613,1582,1568,197,0,0.5878,0.2492,0.4488,28750,0.4208,,,,,,,,,,,,,,,,,,,,,,,1.0000,1890
012007003,AL,GREENVILLE CITY,2023,01,31912,01013,131912,1,3.0,50.0,7263,17103,16210,1661,26477,0.5777,0.1851,0.5262,38004,0.4208,,,,,,,,,,,,,,,,,,,,,,,0.1843,21613
012007004,AL,MCKENZIE TOWN,2022,01,45496,01013,145496,1,3.0,50.0,490,233,99,37,67,0.6707,0.1108,0.5123,35625,0.4208,,,,,,,,,,,,,,,,,,,,,,,,
012008001,AL,ANNISTON CITY,2023,01,01852,01015,101852,1,3.0,50.0,21157,48494,45840,5140,46600,0.5730,0.2011,0.5623,36051,0.3024,,,,,,,,,,,,,,,,,,,,,,,0.9058,52149
012008003,AL,HOBSON CITY TOWN,2022,01,35152,01015,135152,1,3.0,50.0,749,375,242,16,0,0.6217,0.1364,0.1971,34286,0.3024,,,,,,,,,,,,,,,,,,,,,,,,
012008004,AL,JACKSONVILLE CITY,2022,01,38272,01015,138272,1,3.0,50.0,12972,18890,17952,896,21330,0.4978,0.1251,0.4312,41268,0.3024,,,,,,,,,,,,,,,,,,,,,,,0.5752,30360
012008005,AL,OHATCHEE TOWN,2022,01,56472,01015,156472,1,3.0,50.0,1148,2352,2148,80,1,0.8396,0.2064,0.0958,53277,0.3024,,,,,,,,,,,,,,,,,,,,,,,,450
012008006,AL,OXFORD CITY,2023,01,57576,01015,157576,1,3.0,50.0,22312,80513,73152,4872,112105,0.7131,0.1449,0.4529,57887,0.3024,,,,,,,,,,,,,,,,,,,,,,,0.8854,208502
012008007,AL,PIEDMONT CITY,2023,01,59640,01015,159640,1,3.0,50.0,4810,16529,3069,0,27019,0.7284,0.1932,0.3358,39074,0.3024,,,,,,,,,,,,,,,,,,,,,,,0.9473,2457
012008008,AL,WEAVER CITY,2022,01,80352,01015,180352,1,3.0,50.0,3030,2833,1934,265,686,0.7945,0.1430,0.4263,57083,0.3024,,,,,,,,,,,,,,,,,,,,,,,,
012009001,AL,FIVE POINTS TOWN,2022,01,26200,01017,126200,1,3.0,50.0,137,71,45,5,0,0.8222,0.3271,0.3303,33036,0.4210,,,,,,,,,,,,,,,,,,,,,,,,
012009002,AL,LAFAYETTE CITY,2022,01,40672,01017,140672,1,3.0,50.0,2870,1368,1368,0,632,0.6264,0.1213,0.5059,31134,0.4210,,,,,,,,,,,,,,,,,,,,,,,1.0000,
012009003,AL,LANETT CITY,2023,01,41296,01017,141296,1,3.0,50.0,6773,17959,7410,550,323,0.6173,0.2167,0.5425,34363,0.4210,,,,,,,,,,,,,,,,,,,,,,,0.6731,7557
012009004,AL,WAVERLY TOWN,2022,01,80256,01017,180256,1,3.0,50.0,143,159,142,12,0,0.7872,0.2235,0.0111,61250,0.4210,,,,,,,,,,,,,,,,,,,,,,,,20
012009101,AL,CUSSETA TOWN,2022,01,19216,01017,119216,1,3.0,50.0,122,659,334,40,214,0.8537,0.3222,0.0857,,0.4210,,,,,,,,,,,,,,,,,,,,,,,,
012009601,AL,VALLEY CITY,2023,01,78204,01017,178204,1,3.0,50.0,10513,13891,13346,0,26572,0.4967,0.1429,0.5309,47747,0.4210,,,,,,,,,,,,,,,,,,,,,,,,11692
012010001,AL,CEDAR BLUFF TOWN,2022,01,12760,01019,112760,1,3.0,50.0,1829,1236,1236,162,135,0.6963,0.2311,0.2620,32000,0.1330,,,,,,,,,,,,,,,,,,,,,,,,
012010002,AL,CENTRE CITY,2022,01,13648,01019,113648,1,3.0,50.0,3616,5632,5512,403,0,0.5345,0.3237,0.2458,36263,0.1330,,,,,,,,,,,,,,,,,,,,,,,1.0000,
012010003,AL,GAYLESVILLE TOWN,2022,01,29296,01019,129296,1,3.0,50.0,200,158,125,7,0,0.8308,0.2339,0.0677,52917,0.1330,,,,,,,,,,,,,,,,,,,,,,,,
012010401,AL,SAND ROCK TOWN,2022,01,67920,01019,167920,1,3.0,50.0,674,54,54,0,119,0.8211,0.1943,0.0680,53571,0.1330,,,,,,,,,,,,,,,,,,,,,,,,
012010801,AL,LEESBURG TOWN,2022,01,42016,01019,142016,1,3.0,50.0,1016,473,473,0,219,0.7270,0.1797,0.0272,50139,0.1330,,,,,,,,,,,,,,,,,,,,,,,,500
012011001,AL,CLANTON CITY,2023,01,15136,01021,115136,1,3.0,50.0,8762,18815,16229,877,4095,0.5951,0.1637,0.4808,44782,0.1604,,,,,,,,,,,,,,,,,,,,,,,1.0000,8515
012011002,AL,JEMISON CITY,2023,01,38608,01021,138608,1,3.0,50.0,2650,5023,4139,208,3313,0.7770,0.1494,0.3339,46328,0.1604,,,,,,,,,,,,,,,,,,,,,,,1.0000,4028
012011003,AL,MAPLESVILLE TOWN,2022,01,46504,01021,146504,1,3.0,50.0,695,1111,1111,156,43,0.7114,0.1431,0.3595,41071,0.1604,,,,,,,,,,,,,,,,,,,,,,,,213
012011004,AL,THORSBY TOWN,2023,01,76080,01021,176080,1,3.0,50.0,2093,2478,1535,196,1074,0.8144,0.1386,0.2090,58295,0.1604,,,,,,,,,,,,,,,,,,,,,,,,272
012012001,AL,BUTLER TOWN,2022,01,11032,01023,111032,1,3.0,50.0,1694,5130,2847,81,2934,0.6961,0.1587,0.4744,36959,0.4213,,,,,,,,,,,,,,,,,,,,,,,1.0000,2503
012012002,AL,GILBERTOWN TOWN,2022,01,29704,01023,129704,1,3.0,50.0,197,694,558,0,49,0.6238,0.2383,0.3788,51042,0.4213,,,,,,,,,,,,,,,,,,,,,,,,28
012012003,AL,SILAS TOWN,2022,01,70416,01023,170416,1,3.0,50.0,418,167,167,0,0,0.6651,0.2651,0.4522,40625,0.4213,,,,,,,,,,,,,,,,,,,,,,,,
012012004,AL,TOXEY TOWN,2020,01,76632,01023,176632,1,3.0,50.0,124,112,97,16,0,0.8800,0.3303,0.3535,21250,0.4213,,,,,,,,,,,,,,,,,,,,,,,,
012012601,AL,LISMAN TOWN,2022,01,43384,01023,143384,1,3.0,50.0,476,101,101,9,0,0.7708,0.1397,0.0605,33214,0.4213,,,,,,,,,,,,,,,,,,,,,,,,
012012602,AL,NEEDHAM TOWN,2022,01,53472,01023,153472,1,3.0,50.0,79,39,39,2,0,0.8974,0.3562,0.0533,38125,0.4213,,,,,,,,,,,,,,,,,,,,,,,,
012012901,AL,PENNINGTON TOWN,2022,01,58968,01023,158968,1,3.0,50.0,202,21,21,0,44,0.8655,0.2025,0.4322,35893,0.4213,,,,,,,,,,,,,,,,,,,,,,,,
012013001,AL,COFFEEVILLE TOWN,2022,01,16264,01025,116264,1,3.0,50.0,305,287,226,0,65,0.6818,0.1182,0.5999,30833,0.4400,,,,,,,,,,,,,,,,,,,,,,,,
012013002,AL,FULTON TOWN,2022,01,28504,01025,128504,1,3.0,50.0,242,229,168,0,1062,0.8611,0.2174,0.4976,30455,0.4400,,,,,,,,,,,,,,,,,,,,,,,,240
012013003,AL,GROVE HILL TOWN,2022,01,32080,01025,132080,1,3.0,50.0,1709,13933,12810,107,5233,0.6801,0.2637,0.4700,47626,0.4400,,,,,,,,,,,,,,,,,,,,,,,1.0000,
012013004,AL,JACKSON CITY,2022,01,38152,01025,138152,1,3.0,50.0,4582,17289,12939,347,12876,0.6485,0.2094,0.5053,40651,0.4400,,,,,,,,,,,,,,,,,,,,,,,1.0000,14277
012013005,AL,THOMASVILLE CITY,2022,01,75960,01025,175960,1,3.0,50.0,3766,18464,11610,316,27732,0.4925,0.1978,0.5135,40276,0.4400,,,,,,,,,,,,,,,,,,,,,,,0.9189,
012014001,AL,ASHLAND CITY,2022,01,02860,01027,102860,1,3.0,50.0,1872,2379,1779,214,0,0.4727,0.2744,0.4517,19154,0.1845,,,,,,,,,,,,,,,,,,,,,,,,
012014002,AL,LINEVILLE CITY,2022,01,43264,01027,143264,1,3.0,50.0,2221,3290,2292,69,3483,0.4872,0.2007,0.5393,34099,0.1845,,,,,,,,,,,,,,,,,,,,,,,0.0000,1335
012015001,AL,EDWARDSVILLE TOWN,2022,01,23176,01029,123176,1,3.0,50.0,201,46,46,0,0,0.6406,0.1133,0.0000,44063,0.0943,,,,,,,,,,,,,,,,,,,,,,,,
012015002,AL,FRUITHURST TOWN,2022,01,28432,01029,128432,1,3.0,50.0,284,19,19,5,0,0.7188,0.1255,0.0478,42917,0.0943,,,,,,,,,,,,,,,,,,,,,,,,
012015003,AL,HEFLIN CITY,2022,01,33976,01029,133976,1,3.0,50.0,3408,4303,3939,571,0,0.5530,0.2290,0.1757,26786,0.0943,,,,,,,,,,,,,,,,,,,,,,,0.5902,8054
012015501,AL,RANBURNE TOWN,2022,01,63408,01029,163408,1,3.0,50.0,392,24,0,0,0,0.7933,0.2386,0.1435,43958,0.0943,,,,,,,,,,,,,,,,,,,,,,,,
012016001,AL,ELBA CITY,2022,01,23296,01031,123296,1,3.0,50.0,3919,9626,3445,152,300,0.5536,0.1864,0.5303,37134,0.2310,,,,,,,,,,,,,,,,,,,,,,,1.0000,6308
012016002,AL,ENTERPRISE CITY,2023,01,24184,01031,124184,1,3.0,50.0,29395,61439,51342,3274,172632,0.5707,0.1460,0.5550,62695,0.2310,,,,,,,,,,,,,,,,,,,,,,,0.8158,271229
012016003,AL,KINSTON TOWN,2022,01,40096,01031,140096,1,3.0,50.0,552,1573,307,25,667,0.6522,0.1404,0.1542,35952,0.2310,,,,,,,,,,,,,,,,,,,,,,,,46
012016004,AL,NEW BROCKTON TOWN,2022,01,53856,01031,153856,1,3.0,50.0,1286,958,958,40,225,0.6437,0.2129,0.4632,51625,0.2310,,,,,,,,,,,,,,,,,,,,,,,,
012017001,AL,CHEROKEE TOWN,2022,01,14152,01033,114152,1,3.0,50.0,999,844,249,42,0,0.7280,0.1889,0.3539,29674,0.3029,,,,,,,,,,,,,,,,,,,,,,,,
012017002,AL,LEIGHTON TOWN,2022,01,42160,01033,142160,1,3.0,50.0,754,321,320,17,15,0.5082,0.1916,0.5170,35357,0.3029,,,,,,,,,,,,,,,,,,,,,,,,75
012017003,AL,LITTLEVILLE TOWN,2022,01,43648,01033,143648,1,3.0,50.0,992,1085,444,27,365,0.6758,0.2340,0.0528,43214,0.3029,,,,,,,,,,,,,,,,,,,,,,,,545
