state,referendum_row_id,unit_id,census_name,census_type,county,election_date,pct_yes,threshold_centered_margin,passed,issued_6y,n_issues_6y,par_6y,go_share_6y,voter_auth_share_6y,os_confirms_election,entity_type,rule_threshold,op_referendum_strict,op_codable,rd_sample,purpose_class,is_resubmission,prior_fail_4y,resubmitted_4y,gfd_year,gfd_pop,gfd_enrollment,gfd_total_rev,gfd_property_tax,gfd_debt_out,gfd_ltd_out,gfd_rev_pc,gfd_debt_pc
MA,MA:0,22301102500000,TOWN OF WESTWOOD,township,NORFOLK,1982-02-14,54.25,4.25,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,13212,,15989,12460,7800,3900,1210.2,590.4
MA,MA:1,22301102500000,TOWN OF WESTWOOD,township,NORFOLK,1982-02-14,60.22,10.22,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,13212,,15989,12460,7800,3900,1210.2,590.4
MA,MA:2,22301102400000,TOWN OF WELLESLEY,township,NORFOLK,1982-03-01,65.89,15.89,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,27209,,43245,22093,5820,2910,1589.4,213.9
MA,MA:3,22301102400000,TOWN OF WELLESLEY,township,NORFOLK,1982-03-01,66.38,16.38,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,27209,,43245,22093,5820,2910,1589.4,213.9
MA,MA:4,22300904100000,TOWN OF WESTON,township,MIDDLESEX,1982-03-01,52.50,2.50,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,11169,,14356,10618,6679,6679,1285.3,598.0
MA,MA:5,22300700400000,TOWN OF CHESTER,township,HAMPDEN,1982-03-04,56.09,6.09,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1979,1133,,924,403,0,0,815.5,0.0
MA,MA:6,22300801000000,TOWN OF HUNTINGTON,township,HAMPSHIRE,1982-03-04,59.17,9.17,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,1804,,102,0,140,0,56.5,77.6
MA,MA:7,22300801900000,TOWN OF WORTHINGTON,township,HAMPSHIRE,1982-03-04,82.74,32.74,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,932,,469,330,8,8,503.2,8.6
MA,MA:8,22301400200000,TOWN OF ATHOL,township,WORCESTER,1982-04-01,55.29,5.29,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,10634,,4019,2176,520,520,377.9,48.9
MA,MA:9,22301101100000,TOWN OF HOLBROOK,township,NORFOLK,1982-04-01,58.23,8.23,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,11140,,9547,6379,1090,775,857.0,97.8
MA,MA:10,22301000100000,TOWN OF NANTUCKET,township,NANTUCKET,1982-04-01,64.65,14.65,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,5087,,10172,5894,4324,2967,1999.6,850.0
MA,MA:11,22300701500000,TOWN OF SOUTHWICK,township,HAMPDEN,1982-04-01,51.09,1.09,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,7382,,5585,3031,1918,1890,756.6,259.8
MA,MA:12,22300903900000,TOWN OF WAYLAND,township,MIDDLESEX,1982-04-01,61.33,11.33,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,12170,,14964,10499,2714,2674,1229.6,223.0
MA,MA:13,22301102500000,TOWN OF WESTWOOD,township,NORFOLK,1982-04-01,53.47,3.47,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,13212,,15989,12460,7800,3900,1210.2,590.4
MA,MA:14,22300904200000,TOWN OF WILMINGTON,township,MIDDLESEX,1982-04-01,64.72,14.72,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,17471,,21266,12530,7478,6178,1217.2,428.0
MA,MA:15,22300601300000,TOWN OF LEVERETT,township,FRANKLIN,1982-04-08,73.09,23.09,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,1471,,866,628,0,0,588.7,0.0
MA,MA:16,22300501000000,TOWN OF LYNNFIELD,township,ESSEX,1982-04-10,61.89,11.89,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,11267,,9924,7464,795,795,880.8,70.6
MA,MA:17,22301101600000,TOWN OF NEEDHAM,township,NORFOLK,1982-04-10,71.13,21.13,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,27901,,38108,21643,2239,2070,1365.8,80.2
MA,MA:18,22300101500000,TOWN OF YARMOUTH,township,BARNSTABLE,1982-04-10,69.07,19.07,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,18449,,12963,9744,4949,3925,702.6,268.3
MA,MA:19,22300900500000,TOWN OF AYER,township,MIDDLESEX,1982-04-24,57.85,7.85,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,6993,,15268,2570,6672,972,2183.3,954.1
MA,MA:20,22300900500000,TOWN OF AYER,township,MIDDLESEX,1982-04-24,64.82,14.82,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,6993,,15268,2570,6672,972,2183.3,954.1
MA,MA:21,22300900500000,TOWN OF AYER,township,MIDDLESEX,1982-04-24,74.81,24.81,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,6993,,15268,2570,6672,972,2183.3,954.1
MA,MA:22,22301201300000,TOWN OF MARION,township,PLYMOUTH,1982-04-28,73.72,23.72,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,3932,,3607,2615,1585,1325,917.3,403.1
MA,MA:23,22301201300000,TOWN OF MARION,township,PLYMOUTH,1982-04-28,72.09,22.09,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,3932,,3607,2615,1585,1325,917.3,403.1
MA,MA:24,22300200400000,TOWN OF CHESHIRE,township,BERKSHIRE,1982-05-01,67.66,17.66,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,3124,,1018,641,127,111,325.9,40.7
MA,MA:25,22301200900000,TOWN OF HINGHAM,township,PLYMOUTH,1982-05-01,54.43,4.43,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,20339,,28615,15098,5040,2520,1406.9,247.8
MA,MA:26,22300701200000,TOWN OF MONTGOMERY,township,HAMPDEN,1982-05-01,78.38,28.38,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,637,,338,273,56,56,530.6,87.9
MA,MA:27,22300301400000,TOWN OF SOMERSET,township,BRISTOL,1982-05-01,64.71,14.71,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,18813,,17148,13225,13873,11825,911.5,737.4
MA,MA:28,22300900400000,TOWN OF ASHLAND,township,MIDDLESEX,1982-05-02,54.08,4.08,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,9165,,8079,5785,2850,1555,881.5,311.0
MA,MA:29,22300502400000,TOWN OF TOPSFIELD,township,ESSEX,1982-05-03,54.59,4.59,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,5709,,4572,3505,729,429,800.8,127.7
MA,MA:30,22300904100000,TOWN OF WESTON,township,MIDDLESEX,1982-05-06,79.12,29.12,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,11169,,14356,10618,6679,6679,1285.3,598.0
MA,MA:31,22300904100000,TOWN OF WESTON,township,MIDDLESEX,1982-05-06,81.86,31.86,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,11169,,14356,10618,6679,6679,1285.3,598.0
MA,MA:32,22300904100000,TOWN OF WESTON,township,MIDDLESEX,1982-05-06,81.33,31.33,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,11169,,14356,10618,6679,6679,1285.3,598.0
MA,MA:33,22300902000000,TOWN OF HUDSON,township,MIDDLESEX,1982-05-08,63.02,13.02,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,16408,,23309,9005,4080,3980,1420.6,248.7
MA,MA:34,22300502000000,TOWN OF ROWLEY,township,ESSEX,1982-05-09,75.62,25.62,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,3867,,2880,2061,0,0,744.8,0.0
MA,MA:35,22300903600000,TOWN OF TYNGSBOROUGH,township,MIDDLESEX,1982-05-09,61.82,11.82,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,5683,,4040,2339,1980,561,710.9,348.4
MA,MA:36,22300903300000,TOWN OF SUDBURY,township,MIDDLESEX,1982-05-15,52.06,2.06,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,14027,,14770,12132,675,675,1053.0,48.1
MA,MA:37,22300500300000,TOWN OF BOXFORD,township,ESSEX,1982-05-16,69.86,19.86,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,5374,,4012,3256,0,0,746.6,0.0
MA,MA:38,22300100800000,TOWN OF HARWICH,township,BARNSTABLE,1982-05-16,66.96,16.96,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,8971,,8949,6173,2048,2048,997.5,228.3
MA,MA:39,22300100800000,TOWN OF HARWICH,township,BARNSTABLE,1982-05-16,65.35,15.35,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,8971,,8949,6173,2048,2048,997.5,228.3
MA,MA:40,22300100800000,TOWN OF HARWICH,township,BARNSTABLE,1982-05-16,60.31,10.31,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,8971,,8949,6173,2048,2048,997.5,228.3
MA,MA:41,22300100800000,TOWN OF HARWICH,township,BARNSTABLE,1982-05-16,60.40,10.40,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,8971,,8949,6173,2048,2048,997.5,228.3
MA,MA:42,22300100800000,TOWN OF HARWICH,township,BARNSTABLE,1982-05-16,53.58,3.58,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,8971,,8949,6173,2048,2048,997.5,228.3
MA,MA:43,22300100800000,TOWN OF HARWICH,township,BARNSTABLE,1982-05-16,51.50,1.50,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,8971,,8949,6173,2048,2048,997.5,228.3
MA,MA:44,22300100800000,TOWN OF HARWICH,township,BARNSTABLE,1982-05-16,50.55,0.55,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,8971,,8949,6173,2048,2048,997.5,228.3
MA,MA:45,22301404400000,TOWN OF STERLING,township,WORCESTER,1982-05-22,70.68,20.68,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,5440,,5355,2576,974,974,984.4,179.0
MA,MA:46,22300500200000,TOWN OF ANDOVER,township,ESSEX,1982-05-23,51.53,1.53,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,26370,,28573,19712,11845,11745,1083.5,449.2
MA,MA:47,22300903400000,TOWN OF TEWKSBURY,township,MIDDLESEX,1982-05-27,68.91,18.91,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,24635,,21494,13785,4028,2928,872.5,163.5
MA,MA:48,22301201400000,TOWN OF MARSHFIELD,township,PLYMOUTH,1982-06-01,54.11,4.11,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,20916,,21376,12809,12296,9766,1022.0,587.9
MA,MA:49,22300700300000,TOWN OF BRIMFIELD,township,HAMPDEN,1982-06-05,57.04,7.04,1,0,0,,,,0,municipality,66.7,0,1,0,bond_other,0,0,,1981,2318,,1174,784,390,390,506.5,168.2
