state,referendum_row_id,unit_id,census_name,census_type,county,election_date,pct_yes,threshold_centered_margin,passed,issued_6y,n_issues_6y,par_6y,go_share_6y,voter_auth_share_6y,os_confirms_election,entity_type,rule_threshold,op_referendum_strict,op_codable,rd_sample
MA,MA:0,22301102500000,TOWN OF WESTWOOD,township,NORFOLK,1982-02-14,54.25,4.25,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:1,22301102500000,TOWN OF WESTWOOD,township,NORFOLK,1982-02-14,60.22,10.22,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:2,22301102400000,TOWN OF WELLESLEY,township,NORFOLK,1982-03-01,65.89,15.89,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:3,22301102400000,TOWN OF WELLESLEY,township,NORFOLK,1982-03-01,66.38,16.38,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:4,22300904100000,TOWN OF WESTON,township,MIDDLESEX,1982-03-01,52.50,2.50,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:5,22300700400000,TOWN OF CHESTER,township,HAMPDEN,1982-03-04,56.09,6.09,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:6,22300801000000,TOWN OF HUNTINGTON,township,HAMPSHIRE,1982-03-04,59.17,9.17,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:7,22300801900000,TOWN OF WORTHINGTON,township,HAMPSHIRE,1982-03-04,82.74,32.74,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:8,22301400200000,TOWN OF ATHOL,township,WORCESTER,1982-04-01,55.29,5.29,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:9,22301101100000,TOWN OF HOLBROOK,township,NORFOLK,1982-04-01,58.23,8.23,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:10,22301000100000,TOWN OF NANTUCKET,township,NANTUCKET,1982-04-01,64.65,14.65,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:11,22300701500000,TOWN OF SOUTHWICK,township,HAMPDEN,1982-04-01,51.09,1.09,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:12,22300903900000,TOWN OF WAYLAND,township,MIDDLESEX,1982-04-01,61.33,11.33,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:13,22301102500000,TOWN OF WESTWOOD,township,NORFOLK,1982-04-01,53.47,3.47,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:14,22300904200000,TOWN OF WILMINGTON,township,MIDDLESEX,1982-04-01,64.72,14.72,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:15,22300601300000,TOWN OF LEVERETT,township,FRANKLIN,1982-04-08,73.09,23.09,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:16,22300501000000,TOWN OF LYNNFIELD,township,ESSEX,1982-04-10,61.89,11.89,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:17,22301101600000,TOWN OF NEEDHAM,township,NORFOLK,1982-04-10,71.13,21.13,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:18,22300101500000,TOWN OF YARMOUTH,township,BARNSTABLE,1982-04-10,69.07,19.07,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:19,22300900500000,TOWN OF AYER,township,MIDDLESEX,1982-04-24,57.85,7.85,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:20,22300900500000,TOWN OF AYER,township,MIDDLESEX,1982-04-24,64.82,14.82,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:21,22300900500000,TOWN OF AYER,township,MIDDLESEX,1982-04-24,74.81,24.81,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:22,22301201300000,TOWN OF MARION,township,PLYMOUTH,1982-04-28,73.72,23.72,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:23,22301201300000,TOWN OF MARION,township,PLYMOUTH,1982-04-28,72.09,22.09,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:24,22300200400000,TOWN OF CHESHIRE,township,BERKSHIRE,1982-05-01,67.66,17.66,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:25,22301200900000,TOWN OF HINGHAM,township,PLYMOUTH,1982-05-01,54.43,4.43,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:26,22300701200000,TOWN OF MONTGOMERY,township,HAMPDEN,1982-05-01,78.38,28.38,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:27,22300301400000,TOWN OF SOMERSET,township,BRISTOL,1982-05-01,64.71,14.71,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:28,22300900400000,TOWN OF ASHLAND,township,MIDDLESEX,1982-05-02,54.08,4.08,1,0,0,,,,0,municipality,66.7,0,1,0
MA,MA:29,22300502400000,TOWN OF TOPSFIELD,township,ESSEX,1982-05-03,54.59,4.59,1,0,0,,,,0,municipality,66.7,0,1,0
