state,entity,purpose,year,cell_type,our_op_codable,our_strict,our_threshold,our_ref_required,our_variation,their_required,pass2_strict,pass2_threshold_num,pass2_mechanism,pass2_citation,pass2_notes,pass2_verified
KY,municipality,go_debt,2026,disagreement,1,0,,none,none,1,,,,,,
VA,municipality,go_debt,2026,disagreement,1,0,,none,entity_class,1,,,,,,
MA,municipality,go_debt,2026,disagreement,1,0,66.7,town_meeting,entity_class,1,,,,,,
ME,municipality,go_debt,2026,disagreement,1,0,50.0,town_meeting,entity_class,1,,,,,,
NH,municipality,go_debt,2026,disagreement,1,0,60.0,town_meeting,entity_class,1,,,,,,
MS,municipality,go_debt,2026,disagreement,1,0,,petition-triggered,entity_class,1,,,,,,
TN,municipality,go_debt,2026,disagreement,1,0,,petition-triggered,none,1,,,,,,
WI,municipality,go_debt,2026,disagreement,1,0,,petition-triggered,project_purpose,1,,,,,,
CT,municipality,go_debt,2026,not_codable,0,,,NA,charter,0,,,,,,
RI,municipality,go_debt,2026,not_codable,0,,,NA,charter,1,,,,,,
MD,municipality,go_debt,2026,not_codable,0,,,NA,charter,1,,,,,,
DE,municipality,go_debt,2026,not_codable,0,,,NA,charter,1,,,,,,
IL,municipality,go_debt,2026,not_codable,0,,,NA,home_rule,1,,,,,,
IN,municipality,go_debt,2026,not_codable,0,,,NA,project_cost_threshold,1,,,,,,
IA,municipality,go_debt,2026,not_codable,0,,,NA,project_purpose,1,,,,,,
KS,municipality,go_debt,2026,not_codable,0,,,NA,project_purpose,1,,,,,,
MN,municipality,go_debt,2026,not_codable,0,,,NA,bond_type,1,,,,,,
NV,municipality,go_debt,2026,not_codable,0,,,NA,issuer_option,1,,,,,,
NY,municipality,go_debt,2026,not_codable,0,,,NA,local_law_optin,1,,,,,,
PA,municipality,go_debt,2026,not_codable,0,,,NA,debt_limit_threshold,1,,,,,,
HI,municipality,go_debt,2026,not_codable,0,,,NA,entity_class,0,,,,,,
