state,entity_type,threshold,band_pp,passed_n,failed_n,total
CA,county,66.7,2,28,36,64
CA,county,66.7,5,68,84,152
CA,county,66.7,10,117,145,262
CA,municipality,66.7,2,121,104,225
CA,municipality,66.7,5,305,249,554
CA,municipality,66.7,10,614,433,1047
CA,school_district,55.0,2,172,132,304
CA,school_district,55.0,5,443,315,758
CA,school_district,55.0,10,1027,474,1501
CA,special_district,66.7,2,35,36,71
CA,special_district,66.7,5,88,70,158
CA,special_district,66.7,10,158,135,293
TX,county,50.0,2,13,7,20
TX,county,50.0,5,29,16,45
TX,county,50.0,10,70,28,98
TX,municipality,50.0,2,59,31,90
TX,municipality,50.0,5,123,84,207
TX,municipality,50.0,10,284,136,420
TX,school_district,50.0,2,198,169,367
TX,school_district,50.0,5,473,398,871
TX,school_district,50.0,10,961,702,1663
TX,special_district,50.0,2,11,13,24
TX,special_district,50.0,5,35,24,59
TX,special_district,50.0,10,86,38,124
WI,school_district,50.0,2,158,153,311
WI,school_district,50.0,5,419,346,765
WI,school_district,50.0,10,822,544,1366
