h,rbc,ci_lo,ci_hi,conventional
3,-0.026295389712644,-0.19366684479279223,0.14107606536750422,0.06886099915666533
4,0.020566363158475154,-0.1258134412285795,0.1669461675455298,0.08968397944635309
5,0.038831962105198126,-0.09234357897752929,0.17000750318792554,0.11369363879550831
6,0.06389914582766221,-0.056468247893219845,0.18426653954854427,0.12277820087991509
7,0.0803845009571218,-0.03125863799877206,0.19202763991301564,0.12907510590580207
8,0.08562216985274629,-0.01916557187079873,0.1904099115762913,0.1389890116331698
9,0.09851995126640789,-0.00037164470375461445,0.1974115472365704,0.1442432430035182
10,0.11020216020533569,0.01620229821178744,0.20420202219888395,0.1462646043565643
11,0.12008883240188639,0.030253554223338405,0.20992411058043436,0.14660349795489158
12,0.1269708953831269,0.04071020022400665,0.21323159054224713,0.1469556069106457
13,0.13308977547955536,0.04997240960244534,0.21620714135666538,0.1462152851584445
14,0.13866366061381474,0.05830253859970001,0.21902478262792946,0.1448044680767938
15,0.1441514903012877,0.06625852446126869,0.22204445614130675,0.1423598171875501
