row,value
Donut $|m|>0.5$pp,"RBC +0.208 [+0.087, +0.329]; conv. +0.195; N 1,502/2,622"
Donut $|m|>1.0$pp,"RBC +0.188 [+0.033, +0.343]; conv. +0.186; N 1,409/2,498"
Donut $|m|>2.0$pp,"RBC +0.249 [-0.024, +0.521]; conv. +0.199; N 1,199/2,240"
Excluding Louisiana,"RBC +0.133 [+0.037, +0.229]; conv. +0.162"
"Cluster by unit (2{,}480)","conv. +0.146, SE 0.036, $z$ 4.11"
Cluster by county (650),"conv. +0.146, SE 0.042, $z$ 3.47"
Lee bounds (crosswalk trim 2.52\%),"[+0.138, +0.163]"
"Randomisation inference, $|m|\le 2$","diff. +0.142, $p<0.0002$ (5{,}000 permutations)"
IK MSE-optimal bandwidth,$h$ = 1.81pp; $tau$ = $-$0.001 (SE 0.075): slope-dominated on two points of support; the design-based tests above at the same window reject decisively
Alternative horizons 1--6y,Appendix Figure A1a (coefficients rise to the 6y wedge)
"Bandwidth sensitivity $h\in[3,15]$",Appendix Figure A1b (stable from $hge 6$)
