corpus function,project $B,voted share,lines
public_hospital_facility,197.7,1.89%,"2,404"
affordable_multifamily_housing,70.0,1.87%,"6,017"
electric_generation,67.1,0.54%,"1,062"
natural_gas_utility,50.0,0.05%,232
airport_terminal,48.3,0.25%,540
industrial_development,32.6,0.41%,821
senior_housing,25.8,0.33%,"1,087"
student_housing_dormitory,12.2,0.07%,383
single_family_homeownership,11.4,0.01%,573
charter_school_facility,6.9,0.00%,596
recycling_waste_facility,6.2,0.34%,429
tax_increment_project_area,5.5,1.38%,852
