entity,rule,units,voted $ share,council $ share,GO security share,non-chargeable share
county,strict,"2,375",23.3%,70.9%,49.1%,61.6%
county,non-strict,481,5.4%,90.7%,80.7%,63.1%
municipal,strict,"11,037",22.2%,74.1%,37.7%,34.2%
municipal,non-strict,"2,305",3.7%,89.2%,72.1%,52.6%
township,strict,"5,735",18.0%,80.2%,89.3%,61.0%
township,non-strict,"2,483",46.5%,51.8%,97.1%,75.9%
special_district,strict,"23,373",33.3%,57.1%,33.0%,30.7%
special_district,non-strict,"6,801",13.1%,83.8%,33.4%,18.2%
school_district,strict,"12,162",68.4%,30.6%,85.4%,99.4%
school_district,non-strict,616,7.4%,90.6%,45.2%,99.8%
