year,voter_$B,board_$B,statutory_$B,undetermined_$B
2005,13.13,36.33,4.91,2.06
2006,17.46,40.74,5.73,2.84
2007,20.72,48.58,3.37,4.15
2008,17.89,37.59,5.0,2.65
2009,16.94,42.17,6.37,3.49
2010,17.54,48.3,9.47,2.43
2011,8.65,29.49,7.3,1.42
2012,9.41,23.45,6.52,2.48
2013,13.99,30.04,6.11,2.21
2014,15.12,29.65,7.39,1.43
2015,16.98,28.63,6.23,3.66
2016,18.11,25.09,12.4,2.15
2017,24.37,31.3,16.55,2.18
2018,27.38,45.72,16.32,6.71
2019,28.77,37.83,18.23,3.59
2020,25.32,33.45,8.33,2.76
2021,26.35,42.85,9.16,2.32
2022,35.65,43.72,15.93,4.22
2023,42.17,45.79,11.3,3.61
2024,38.05,52.88,15.92,4.83
2025,46.78,62.42,10.02,5.42
