bin_mid,n,share
-9.75,56,0.4643
-9.25,46,0.6522
-8.75,52,0.5192
-8.25,66,0.5152
-7.75,67,0.6269
-7.25,60,0.6500
-6.75,71,0.5352
-6.25,68,0.6029
-5.75,68,0.5147
-5.25,75,0.5200
-4.75,92,0.5543
-4.25,89,0.6854
-3.75,97,0.5258
-3.25,94,0.5213
-2.75,105,0.4667
-2.25,93,0.5161
-1.75,101,0.5743
-1.25,109,0.5321
-0.75,93,0.5161
-0.25,94,0.6170
0.25,119,0.6387
0.75,123,0.7317
1.25,139,0.7410
1.75,118,0.6864
2.25,143,0.6853
2.75,138,0.6159
3.25,128,0.6172
3.75,124,0.6694
4.25,115,0.7652
4.75,112,0.6875
5.25,138,0.6667
5.75,149,0.6779
6.25,149,0.7450
6.75,169,0.6568
7.25,130,0.6308
7.75,130,0.6769
8.25,149,0.6913
8.75,146,0.6507
9.25,158,0.6772
9.75,152,0.7039
10.25,14,0.5714
