state,docs,has_new_money_nonblank_pct
TX,32510,95.4
NY,25974,98.4
IL,13527,98.5
WI,12331,98.5
MN,11033,78.7
MA,10564,72.5
PA,10240,97.4
NJ,8204,91.7
NE,8088,97.9
OH,8056,98.1
IN,7780,98.5
MI,7466,97.7
MO,7201,85.4
IA,6830,98.6
OK,6701,99.6
FL,6546,99.1
KS,5916,98.0
CA,5751,91.8
KY,5097,97.8
CO,4407,99.3
CT,4101,90.5
AL,4067,98.8
WA,3685,98.4
TN,3571,99.1
GA,3331,99.5
AR,3043,99.4
AZ,2952,98.9
VA,2688,99.4
LA,2431,94.9
SC,2257,98.0
NC,2159,98.7
UT,2028,98.1
MD,1965,87.0
ND,1799,99.6
MS,1663,95.0
OR,1608,98.3
NM,1601,97.4
ME,1120,96.4
SD,1107,95.4
NH,1012,95.3
NV,1011,94.1
RI,927,95.4
ID,848,85.3
MT,679,95.6
WV,614,95.1
DC,500,92.6
AK,399,90.5
VT,368,92.9
DE,317,94.0
HI,240,88.3
WY,188,97.9
PR,174,99.4
GU,60,98.3
VI,27,100.0
