Election Date,Agency Name,County,Election Type,Measure Name,Type of Tax/Debt,Amount of Bond/Tax,% Yes,% No,Threshold Value,Election Result,Purpose
06/02/2026 00:00:00,Bonita Unified School District,Los Angeles,Primary,A,General Obligation Bond,"$256,000,000",47.26,52.74,55%,Fail,K-12 School Facility
06/02/2026 00:00:00,Contra Costa Community College District,Contra Costa,Primary,G,General Obligation Bond,"$920,000,000",50.12,49.88,55%,Fail,"College, University Facility"
06/02/2026 00:00:00,Contra Costa County,Contra Costa,Primary,B,"Tax (Levy, Parcel, Sales, Fee)","Sales tax: Five-eighths of one cent (0.625%) temporary general sales tax for 5 years, providing an estimated $150,000,000 annually.",43.12,56.88,Majority,Fail,General Government
06/02/2026 00:00:00,Covina,Los Angeles,Primary,CC,"Tax (Levy, Parcel, Sales, Fee)","Sales tax: Supplemental ¼ cent sales tax, providing approximately $3,000,000 annually.",54.04,45.96,Majority,Pass,General Government
06/02/2026 00:00:00,El Cerrito,Contra Costa,Primary,C,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Annual parcel tax of up to $0.17 per square foot of improvements ($100 per vacant parcel), generating approximately $3,100,000 annually, expiring 30 years after the initial issuance of bonds.",30.38,69.62,Majority,Fail,Public Building
06/02/2026 00:00:00,Gardena,Los Angeles,Primary,GG,"Tax (Levy, Parcel, Sales, Fee)","Sales tax: ¼¢ sales tax, providing approximately $3,900,000 annually.",64.87,35.13,Majority,Pass,General Government
06/02/2026 00:00:00,Hanford,Kings,Primary,T,"Tax (Levy, Parcel, Sales, Fee)","Transient Occupancy Tax: increase the maximum rate of the City's Transient Occupancy (Hotel) Tax paid by hotel and vacation rental guests from 8% to 12%, providing approximately $375,000 annually.",39.71,60.29,Majority,Fail,General Government
06/02/2026 00:00:00,La Canada Unified School District,Los Angeles,Primary,LCF,General Obligation Bond,"$113,000,000",64.69,35.31,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Loma Linda,San Bernardino,Primary,X,"Tax (Levy, Parcel, Sales, Fee)","Sales tax:Enacting a 1¢ sales tax providing approximately $6,400,000 annually.",47.85,52.15,Majority,Fail,General Government
06/02/2026 00:00:00,Lompoc,Santa Barbara,Primary,B,"Tax (Levy, Parcel, Sales, Fee)","Sales tax: Establishing an additional 0.5% sales tax, expiring after 15 years, subject to annual audit and public accountability requirements, and raising approximately $3.75 million annually.",46.87,53.13,Two-thirds,Fail,Street Construction and Improvements
06/02/2026 00:00:00,Los Angeles,Los Angeles,Primary,TT,"Tax (Levy, Parcel, Sales, Fee)","Transient Occupancy tax: Increase the Transient Occupancy Tax (TOT) paid by hotel guests from 14% to 16% through December 31, 2028 and then 15% thereafter, and to update the TOT collection.",47.13,52.87,Majority,Fail,General Government
06/02/2026 00:00:00,Los Angeles,Los Angeles,Primary,TC,"Tax (Levy, Parcel, Sales, Fee)","Transient Occupancy tax: An ordinance to update the City's transient occupancy tax, paid by hotel and lodging guests, to require online and other travel companies to collect and remit the tax (the current rate is 14%); generating approximately $5 million annually.",57.67,42.33,Majority,Pass,General Government
