state,source_dataset,referendum_row_id,jurisdiction_raw,jurisdiction_norm,referendum_type,election_date,unit_id,census_name,census_type,county,match_status,match_lane,evidence_strength,score,matched_vintage,basis,notes
MA,ma_dls,MA:0,Westwood,WESTWOOD,debt_exclusion,1982-02-14,22301102500000,TOWN OF WESTWOOD,township,NORFOLK,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Westwood' == CoG township (exact normalized),
MA,ma_dls,MA:1,Westwood,WESTWOOD,debt_exclusion,1982-02-14,22301102500000,TOWN OF WESTWOOD,township,NORFOLK,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Westwood' == CoG township (exact normalized),
MA,ma_dls,MA:2,Wellesley,WELLESLEY,debt_exclusion,1982-03-01,22301102400000,TOWN OF WELLESLEY,township,NORFOLK,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Wellesley' == CoG township (exact normalized),
MA,ma_dls,MA:3,Wellesley,WELLESLEY,debt_exclusion,1982-03-01,22301102400000,TOWN OF WELLESLEY,township,NORFOLK,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Wellesley' == CoG township (exact normalized),
MA,ma_dls,MA:4,Weston,WESTON,debt_exclusion,1982-03-01,22300904100000,TOWN OF WESTON,township,MIDDLESEX,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Weston' == CoG township (exact normalized),
MA,ma_dls,MA:5,Chester,CHESTER,debt_exclusion,1982-03-04,22300700400000,TOWN OF CHESTER,township,HAMPDEN,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Chester' == CoG township (exact normalized),
MA,ma_dls,MA:6,Huntington,HUNTINGTON,debt_exclusion,1982-03-04,22300801000000,TOWN OF HUNTINGTON,township,HAMPSHIRE,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Huntington' == CoG township (exact normalized),
MA,ma_dls,MA:7,Worthington,WORTHINGTON,debt_exclusion,1982-03-04,22300801900000,TOWN OF WORTHINGTON,township,HAMPSHIRE,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Worthington' == CoG township (exact normalized),
MA,ma_dls,MA:8,Athol,ATHOL,debt_exclusion,1982-04-01,22301400200000,TOWN OF ATHOL,township,WORCESTER,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Athol' == CoG township (exact normalized),
MA,ma_dls,MA:9,Holbrook,HOLBROOK,debt_exclusion,1982-04-01,22301101100000,TOWN OF HOLBROOK,township,NORFOLK,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Holbrook' == CoG township (exact normalized),
MA,ma_dls,MA:10,Nantucket,NANTUCKET,debt_exclusion,1982-04-01,22301000100000,TOWN OF NANTUCKET,township,NANTUCKET,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Nantucket' == CoG township (exact normalized),
MA,ma_dls,MA:11,Southwick,SOUTHWICK,debt_exclusion,1982-04-01,22300701500000,TOWN OF SOUTHWICK,township,HAMPDEN,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Southwick' == CoG township (exact normalized),
MA,ma_dls,MA:12,Wayland,WAYLAND,debt_exclusion,1982-04-01,22300903900000,TOWN OF WAYLAND,township,MIDDLESEX,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Wayland' == CoG township (exact normalized),
MA,ma_dls,MA:13,Westwood,WESTWOOD,debt_exclusion,1982-04-01,22301102500000,TOWN OF WESTWOOD,township,NORFOLK,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Westwood' == CoG township (exact normalized),
MA,ma_dls,MA:14,Wilmington,WILMINGTON,debt_exclusion,1982-04-01,22300904200000,TOWN OF WILMINGTON,township,MIDDLESEX,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Wilmington' == CoG township (exact normalized),
MA,ma_dls,MA:15,Leverett,LEVERETT,debt_exclusion,1982-04-08,22300601300000,TOWN OF LEVERETT,township,FRANKLIN,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Leverett' == CoG township (exact normalized),
MA,ma_dls,MA:16,Lynnfield,LYNNFIELD,debt_exclusion,1982-04-10,22300501000000,TOWN OF LYNNFIELD,township,ESSEX,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Lynnfield' == CoG township (exact normalized),
MA,ma_dls,MA:17,Needham,NEEDHAM,debt_exclusion,1982-04-10,22301101600000,TOWN OF NEEDHAM,township,NORFOLK,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Needham' == CoG township (exact normalized),
MA,ma_dls,MA:18,Yarmouth,YARMOUTH,debt_exclusion,1982-04-10,22300101500000,TOWN OF YARMOUTH,township,BARNSTABLE,ASSIGNED,ma_muni_name_exact,3b_NAME_EXACT,1.0,1997-2022,DLS municipality 'Yarmouth' == CoG township (exact normalized),
