state,source,election,date,district,county,measure_type,amount,rate_or_cap,outcome,pct_yes,vote_split
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Brimfield-#309,Peoria Co.,Bond,"$13,900,000",,Passed,62,62% to 38%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Coles County-Countywide,Coles County,Tax/Levy,,1%,Failed,56.2,56.2% to 43.8%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Community Unit School District #3,Bond and Montgomery Counties,Bond,"$32,000,000",,Failed,54.7,54.7% to 45.3%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Eastland Community-#308,Carroll Co.,Bond,"$7,000,000",,Passed,55.2,55.2% to 44.8%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Freeburg CSD-#77,Washington and St. Clair Co.,Bond,"$7,500,000",,Failed,54,54% to 46%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Lawrence County-Countywide,Lawrence County,Tax/Levy,,1%,Passed,52.9,52.9% to 47.1%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Lebanon CSD-#9,St. Clair Co.,Bond,"$3,000,000",,Passed,54.5,54.5% to 44.5%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Lemont-Bromberek Combined-#113A,DuPage and Cook Counties,Tax/Levy,,0.45%,Failed,67,67% to 33%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Lick Creek CCSD-#16,Union County,Tax/Levy,,0.65%,Failed,62.5,62.5% to 37.5%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Marengo Union Consolidated-#165,McHenry County,Other,"$180,983.80",,Failed,63.5,63.5% to 36.5%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Moenka-#159,Will County,Tax/Levy,,0.48%,Failed,60.9,60.9% to 30.1%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,New Trier HS-#203,Cook County,Bond,"$174,000,000",,Failed,62.9,62.9% to 37.1%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Ottawa SD-#141,LaSalle County,Bond,"$18,500,000",,Passed,63,63% to 37%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Pontiac CCSD-#429,Livingston County,Tax/Levy,,0.50%,Failed,73.4,73.4% to 26.6%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Pontiac HS-#290,Livingston County,Bond,"$7,500,000",,Failed,65.7,65.7% to 34.3%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Ridgeview CUSD-#19,McLean County,Tax/Levy,,,Passed,53,53% to 47%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Rockdale-#84,Will County,Bond,"$1,500,000",,Passed,51.8,51.8% to 41.2%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Sunnybrook-#171,Cook County,Tax/Levy,,0.40%,Passed,67,67% to 33%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,Union School District-#81,Will County,Bond,"$6,100,000",,Failed,51.8,51.8% to 48.2%
IL,Ballotpedia,"2010 Statewide primary (February 2, 2010)",February 2,West Washington CUSD-#10,Washington Co.,Bond,"$32,200,000",,Failed,63.3,63.3% to 37.7%
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,Alwood School District-#225,,Tax/Levy,,3.45%,Passed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,Arbor Park School District-#145,,Tax/Levy,,3.893%,Failed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,Avoca School District-#37,,Tax/Levy,,.167%,Passed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,Ball-Chatham CUSD-#5,,Bond,,,Passed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,Belle Valley School District-#119,,Bond,$39.45 million,,Passed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,Bunker Hill CUSD-#8,,Bond,$4 million,,Failed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,Community Consolidated School District-#180,,Tax/Levy,,.2900%,Passed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,Hiawatha CUSD-#426,,Bond,$2.4 million,,Failed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,Hiawatha CUSD-#426,,Bond,$5 million,,Failed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,New Holland-Middletown ESD-#88,,Tax/Levy,,2.750%,Passed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,Ridgeland School District-#122,,Tax/Levy,"$2,260,643",,Failed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,St. Charles CUSD-#303,,Bond,$114 million,,Failed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,Sunnybrook School District-#171,,Tax/Levy,,.030%,Failed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,Washington CHSD-#308,,Bond,$18.4 million,,Failed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,West Chicago ESD-#33,,Bond,$49 million,,Failed,,
IL,Ballotpedia,"2009 Consolidated Election (April 7, 2009)",April 7,Whiteside School District-#115,,Bond,$9.75 million,,Failed,,
IL,Ballotpedia,"2008 General Election (November 2, 2008)",November 2,Alwood School District-#225,,Tax/Levy,,3.45%,Failed,,
IL,Ballotpedia,"2008 General Election (November 2, 2008)",November 2,Besenville ESD-#2,,Bond,$50 million,,Failed,,
IL,Ballotpedia,"2008 General Election (November 2, 2008)",November 2,Bunker Hill CUSD-#8,,Bond,$4 million,,Failed,,
IL,Ballotpedia,"2008 General Election (November 2, 2008)",November 2,Diamond Lake School District-#96,,Tax/Levy,,0.44%,Passed,,
IL,Ballotpedia,"2008 General Election (November 2, 2008)",November 2,Durand CUSD-#96,,Bond,$10 million,,Failed,,
IL,Ballotpedia,"2008 General Election (November 2, 2008)",November 2,East Aurora School District-#131,,Bond,$32 million,,Passed,,
IL,Ballotpedia,"2008 General Election (November 2, 2008)",November 2,Harvard CUSD-#20,,Bond,"$20,701,244",,Passed,,
