election_name,jurisdiction_county,gov_unit_name,referendum_type,result,description
1995 Nonpartisan Election,*COOK,Park Ridge Recreational & Park Dist,Bond,Fail,Bond issue
1995 Nonpartisan Election,*CHAMPAIGN,Philo Public Library Dist,Bond,Pass,Library building
1995 Nonpartisan Election,*COOK,Phoenix Park Dist,Bond,Pass,Ext. for payment of principal & interest
1995 Nonpartisan Election,*COOK,Village Of South Chicago Heights,Bond,Pass,Water bonds
1995 Nonpartisan Election,*LEE,Village Of Steward,Bond,Pass,Water bonds
1995 Nonpartisan Election,*LEE,Village Of Steward,Bond,Pass,General obligation
1995 Nonpartisan Election,*DuPAGE,Village Of Villa Park,Bond,Fail,Street and storm sewer improvements
1995 Nonpartisan Election,*LAKE,Mundelein Consolidated High School Dist 120,Bond,Pass,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*LAKE,Mundelein School Dist 75,Bond,Pass,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*DeKALB,Genoa-Kingston Comm Unit School Dist 424,Bond,Fail,Working cash fund
1995 Nonpartisan Election,*COOK,Glencoe School Dist 35,Bond,Pass,Repairs
1995 Nonpartisan Election,*WINNEBAGO,Prairie Hill Comm Unit School Dist 133,Bond,Pass,Building bonds
1995 Nonpartisan Election,"HENRY, *WHITESIDE",Prophetstown-Lyndon Comm Unit School Dist 3,Bond,Fail,Build & equip building or addition
1995 Nonpartisan Election,*DuPAGE,Puffer-Hefty School Dist 69,Bond,Pass,"Build, equip, alter, and repair"
1995 Nonpartisan Election,"BOND, *MADISON, MONTGOMERY",Highland Comm Unit School Dist 5,Bond,Fail,Building and purchase grounds
1995 Nonpartisan Election,"BOND, *MADISON, MONTGOMERY",Highland Comm Unit School Dist 5,Bond,Fail,Build & equip building or addition
1995 Nonpartisan Election,*COOK,Palos Heights Fire Protection Dist,Bond,Pass,"Fire,emergency,rescue vehcls.&/0r equip."
1995 Nonpartisan Election,*LAKE,Kildeer Countryside Consolidated Comm School Dist 96,Bond,Fail,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*COOK,La Grange Park Dist,Bond,Pass,Corporate
1995 Nonpartisan Election,*LAKE,Lake Villa Fire Protection Dist,Bond,Pass,Bond issue
1995 Nonpartisan Election,*LAKE,Lake Zurich Rural Fire Protection Dist,Bond,Pass,Bond issue
1995 Nonpartisan Election,*LaSALLE,Lasalle Dist 122,Bond,Fail,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*COOK,Niles Elementary School Dist 71,Bond,Pass,Repairs
1995 Nonpartisan Election,*COOK,Niles Public Library,Bond,Pass,Repairs
1995 Nonpartisan Election,*COOK,North Riverside Library Dist,Bond,Pass,Library building
1995 Nonpartisan Election,*COOK,Village Of Richton Park,Bond,Fail,Building bonds
1995 Nonpartisan Election,*COOK,City of Des Plaines,Bond,Fail,Building bonds
1995 Nonpartisan Election,"EFFINGHAM, *SHELBY",Stewardson-Strasburg Comm Unit Dist 5A,Bond,Pass,Build & equip building or addition
1995 Nonpartisan Election,*JoDAVIESS,Warren Comm Unit School Dist 205,Bond,Fail,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*LAKE,Warren Township High School Dist 121,Bond,Pass,Build and equip
1995 Nonpartisan Election,"*MONROE, ST. CLAIR",Waterloo Comm Unit School Dist 5,Bond,Fail,Build and equip
1995 Nonpartisan Election,*McHENRY,Cary Park Dist,Bond,Fail,Swimming pool facility
1995 Nonpartisan Election,*LAKE,Round Lake Area Schools - Dist 116,Bond,Fail,"Build, equip, alter, and repair"
1995 Nonpartisan Election,"*DeKALB, KENDALL, LaSALLE",Sandwich Comm Unit School Dist 430,Bond,Pass,Building bonds
1995 Nonpartisan Election,*JoDAVIESS,Scales Mound Comm Unit School Dist 211,Bond,Pass,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*COOK,Schaumburg Township Lib Dist,Bond,Pass,Library building
1995 Nonpartisan Election,"*COOK, LAKE",Village Of Barrington,Bond,Fail,Equipment
1995 Nonpartisan Election,"*HENRY, KNOX, MERCER",Alwood Comm Unit School Dist 225,Bond,Pass,Build and equip
1995 Nonpartisan Election,"COLES, *DOUGLAS",Arcola Comm Unit School Dist 306,Bond,Pass,"Build, equip, alter, and repair"
1995 Nonpartisan Election,"*FULTON, SCHUYLER",Astoria Comm Unit School Dist 1,Bond,Pass,Working cash fund
1995 Nonpartisan Election,"COOK, KANE, *LAKE, McHENRY",Barrington Comm Unit School Dist 220,Bond,Fail,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*DuPAGE,Benjamin School Dist 25,Bond,Pass,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*COOK,City of Northlake,Bond,Fail,Repair/replace sidewalks
1995 Nonpartisan Election,*COOK,Sunnybrook School Dist 171,Bond,Pass,Build & equip building or addition
1995 Nonpartisan Election,"CUMBERLAND, *EFFINGHAM, SHELBY",Teutopolis Comm Unit School Dist 50,Bond,Pass,Building bonds
1995 Nonpartisan Election,*COOK,Lincolnwood Library Dist,Bond,Pass,Bond issue
1995 Nonpartisan Election,*WABASH,Little Wabash Fire Protection Dist,Bond,Pass,Join fire district (Compton Pct Only)
1995 Nonpartisan Election,*DuPAGE,Darien-Woodridge Fire Protection Dist,Bond,Pass,Merge fire districts
1995 Nonpartisan Election,"CLAY, CUMBERLAND, *EFFINGHAM, JASPER",Dieterich Comm Unit School Dist 30,Bond,Pass,Building bonds
1995 Nonpartisan Election,*DuPAGE,Village Of Downers Grove,Bond,Fail,Library improvements
