election_name,election_year,election_month,jurisdiction_county,gov_unit_name,gov_type,referendum_type,result,amount,amount_verbatim,description
1995 Nonpartisan Election,1995,04,CASS,Cass County,county,Advisory,Pass,,,Gambling issue - citizens right to vote
1995 Nonpartisan Election,1995,04,COOK,Orland Township (Only Unincorporated Area),township,Advisory,Fail,,,Recycling question
1995 Nonpartisan Election,1995,04,COOK,Posen-Robbins Elementary School Dist 143 1/2,school,Advisory,Pass,,,School question
1995 Nonpartisan Election,1995,04,COOK,Village Of Lyons,village,Advisory,Fail,,,Salary & wage increases
1995 Nonpartisan Election,1995,04,COOK,Worth Township,township,Advisory,Fail,,,Increase illinois state income tax
1995 Nonpartisan Election,1995,04,MARION,City of Salem,city,Advisory,Pass,,,Landfill question
1995 Nonpartisan Election,1995,04,McHENRY,Algonquin Township,township,Advisory,Pass,,,Bypass crossing
1995 Nonpartisan Election,1995,04,OGLE,Village Of Mount Morris,village,Advisory,Fail,,,Continue to employ supt. of public works
1995 Nonpartisan Election,1995,04,ROCK ISLAND,Village Of Andalusia,village,Advisory,Pass,,,Garbage collection
1995 Nonpartisan Election,1995,04,SHELBY,Shelby County,county,Advisory,Pass,,,Gambling issue - citizens right to vote
1995 Nonpartisan Election,1995,04,"BOND, *MADISON, MONTGOMERY",Highland Comm Unit School Dist 5,school,Bond,Fail,,,Building and purchase grounds
1995 Nonpartisan Election,1995,04,"BOND, *MADISON, MONTGOMERY",Highland Comm Unit School Dist 5,school,Bond,Fail,,,Build & equip building or addition
1995 Nonpartisan Election,1995,04,CHAMPAIGN,Philo Public Library Dist,library,Bond,Pass,,,Library building
1995 Nonpartisan Election,1995,04,"CLAY, CUMBERLAND, *EFFINGHAM, JASPER",Dieterich Comm Unit School Dist 30,school,Bond,Pass,,,Building bonds
1995 Nonpartisan Election,1995,04,"CLINTON, ST. CLAIR",Wesclin Comm Unit School Dist 3,school,Bond,Fail,,,"Build, equip, alter, and repair"
1995 Nonpartisan Election,1995,04,"COLES, *DOUGLAS",Arcola Comm Unit School Dist 306,school,Bond,Pass,,,"Build, equip, alter, and repair"
1995 Nonpartisan Election,1995,04,COOK,City of Des Plaines,city,Bond,Fail,,,Building bonds
1995 Nonpartisan Election,1995,04,COOK,City of Northlake,city,Bond,Fail,,,Repair/replace sidewalks
1995 Nonpartisan Election,1995,04,COOK,Country Club Fire Protection Dist,fire,Bond,Pass,,,"Fire,emergency,rescue vehcls.&/0r equip."
1995 Nonpartisan Election,1995,04,COOK,Glencoe School Dist 35,school,Bond,Pass,,,Repairs
1995 Nonpartisan Election,1995,04,COOK,La Grange Park Dist,park,Bond,Pass,,,Corporate
1995 Nonpartisan Election,1995,04,COOK,Lincolnwood Library Dist,library,Bond,Pass,,,Bond issue
1995 Nonpartisan Election,1995,04,COOK,Niles Elementary School Dist 71,school,Bond,Pass,,,Repairs
1995 Nonpartisan Election,1995,04,COOK,Niles Public Library,library,Bond,Pass,,,Repairs
1995 Nonpartisan Election,1995,04,COOK,North Riverside Library Dist,library,Bond,Pass,,,Library building
1995 Nonpartisan Election,1995,04,COOK,Palos Heights Fire Protection Dist,fire,Bond,Pass,,,"Fire,emergency,rescue vehcls.&/0r equip."
1995 Nonpartisan Election,1995,04,COOK,Park Ridge Recreational & Park Dist,park,Bond,Fail,,,Bond issue
1995 Nonpartisan Election,1995,04,COOK,Phoenix Park Dist,park,Bond,Pass,,,Ext. for payment of principal & interest
1995 Nonpartisan Election,1995,04,COOK,Schaumburg Township Lib Dist,township,Bond,Pass,,,Library building
1995 Nonpartisan Election,1995,04,COOK,Sunnybrook School Dist 171,school,Bond,Pass,,,Build & equip building or addition
1995 Nonpartisan Election,1995,04,COOK,Village Of Richton Park,park,Bond,Fail,,,Building bonds
1995 Nonpartisan Election,1995,04,COOK,Village Of South Chicago Heights,village,Bond,Pass,,,Water bonds
1995 Nonpartisan Election,1995,04,COOK,Village Of Worth,village,Bond,Pass,,,Recreation area
1995 Nonpartisan Election,1995,04,"COOK, KANE, *LAKE, McHENRY",Barrington Comm Unit School Dist 220,school,Bond,Fail,,,"Build, equip, alter, and repair"
1995 Nonpartisan Election,1995,04,"COOK, LAKE",Indian Trails Public Library Dist,library,Bond,Pass,,,Repairs
1995 Nonpartisan Election,1995,04,"COOK, LAKE",Village Of Barrington,village,Bond,Fail,,,Equipment
1995 Nonpartisan Election,1995,04,"CUMBERLAND, *EFFINGHAM, SHELBY",Teutopolis Comm Unit School Dist 50,school,Bond,Pass,,,Building bonds
1995 Nonpartisan Election,1995,04,DeKALB,Genoa-Kingston Comm Unit School Dist 424,school,Bond,Fail,,,Working cash fund
1995 Nonpartisan Election,1995,04,"DeKALB, KENDALL, LaSALLE",Sandwich Comm Unit School Dist 430,school,Bond,Pass,,,Building bonds
1995 Nonpartisan Election,1995,04,DuPAGE,Benjamin School Dist 25,school,Bond,Pass,,,"Build, equip, alter, and repair"
1995 Nonpartisan Election,1995,04,DuPAGE,"Clarendon Heights Fire Protection Dist, Tri-state Fire Protection Dist",fire,Bond,Pass,,,Merge fire districts
1995 Nonpartisan Election,1995,04,DuPAGE,Darien-Woodridge Fire Protection Dist,fire,Bond,Pass,,,Merge fire districts
1995 Nonpartisan Election,1995,04,DuPAGE,Medinah School Dist 11,school,Bond,Fail,,,"Build, equip, alter, and repair"
1995 Nonpartisan Election,1995,04,DuPAGE,Puffer-Hefty School Dist 69,school,Bond,Pass,,,"Build, equip, alter, and repair"
1995 Nonpartisan Election,1995,04,DuPAGE,Village Of Downers Grove,village,Bond,Fail,,,Library improvements
1995 Nonpartisan Election,1995,04,DuPAGE,Village Of Villa Park,park,Bond,Fail,,,Street and storm sewer improvements
1995 Nonpartisan Election,1995,04,"EFFINGHAM, *SHELBY",Stewardson-Strasburg Comm Unit Dist 5A,other,Bond,Pass,,,Build & equip building or addition
1995 Nonpartisan Election,1995,04,"FULTON, SCHUYLER",Astoria Comm Unit School Dist 1,school,Bond,Pass,,,Working cash fund
1995 Nonpartisan Election,1995,04,"HENRY, *WHITESIDE",Prophetstown-Lyndon Comm Unit School Dist 3,school,Bond,Fail,,,Build & equip building or addition
1995 Nonpartisan Election,1995,04,"HENRY, KNOX, MERCER",Alwood Comm Unit School Dist 225,school,Bond,Pass,,,Build and equip
1995 Nonpartisan Election,1995,04,"JACKSON, PERRY, RANDOLPH",Trico Comm Unit School Dist 176,school,Bond,Fail,,,"Build, equip, alter, and repair"
1995 Nonpartisan Election,1995,04,JEFFERSON,Webber Township High School Dist 204,school,Bond,Fail,,,Build & equip building or addition
1995 Nonpartisan Election,1995,04,JoDAVIESS,Scales Mound Comm Unit School Dist 211,school,Bond,Pass,,,"Build, equip, alter, and repair"
1995 Nonpartisan Election,1995,04,JoDAVIESS,Warren Comm Unit School Dist 205,school,Bond,Fail,,,"Build, equip, alter, and repair"
1995 Nonpartisan Election,1995,04,KANE,Kane County,county,Bond,Fail,,,Public safety question
1995 Nonpartisan Election,1995,04,"KANE, *KENDALL",Yorkville Comm Unit School Dist 115,school,Bond,Fail,,,Building bonds
1995 Nonpartisan Election,1995,04,LAKE,Kildeer Countryside Consolidated Comm School Dist 96,school,Bond,Fail,,,"Build, equip, alter, and repair"
1995 Nonpartisan Election,1995,04,LAKE,Lake Villa Fire Protection Dist,fire,Bond,Pass,,,Bond issue
1995 Nonpartisan Election,1995,04,LAKE,Lake Zurich Rural Fire Protection Dist,fire,Bond,Pass,,,Bond issue
1995 Nonpartisan Election,1995,04,LAKE,Mundelein Consolidated High School Dist 120,school,Bond,Pass,,,"Build, equip, alter, and repair"
1995 Nonpartisan Election,1995,04,LAKE,Mundelein School Dist 75,school,Bond,Pass,,,"Build, equip, alter, and repair"
1995 Nonpartisan Election,1995,04,LAKE,Round Lake Area Schools - Dist 116,school,Bond,Fail,,,"Build, equip, alter, and repair"
1995 Nonpartisan Election,1995,04,LAKE,Warren Township High School Dist 121,school,Bond,Pass,,,Build and equip
1995 Nonpartisan Election,1995,04,LAKE,Woodland Consolidated Comm School Dist 50,school,Bond,Pass,,,Build and equip
1995 Nonpartisan Election,1995,04,LEE,Village Of Steward,village,Bond,Pass,,,Water bonds
1995 Nonpartisan Election,1995,04,LEE,Village Of Steward,village,Bond,Pass,,,General obligation
1995 Nonpartisan Election,1995,04,LaSALLE,Lasalle Dist 122,other,Bond,Fail,,,"Build, equip, alter, and repair"
1995 Nonpartisan Election,1995,04,"MONROE, ST. CLAIR",Waterloo Comm Unit School Dist 5,school,Bond,Fail,,,Build and equip
1995 Nonpartisan Election,1995,04,McHENRY,Cary Park Dist,park,Bond,Fail,,,Swimming pool facility
1995 Nonpartisan Election,1995,04,McHENRY,Marengo Park Dist,park,Bond,Pass,,,Swimming pool facility
1995 Nonpartisan Election,1995,04,McHENRY,Woodstock Comm Unit School Dist 200,school,Bond,Pass,,,Building bonds
1995 Nonpartisan Election,1995,04,McLEAN,City of Leroy,city,Bond,Pass,,,Sewer improvements
1995 Nonpartisan Election,1995,04,ST. CLAIR,City of Mascoutah,city,Bond,Pass,,,Expansion
1995 Nonpartisan Election,1995,04,ST. CLAIR,Grant Comm Consolidated School Dist 110,school,Bond,Fail,,,Build & equip building or addition
1995 Nonpartisan Election,1995,04,WABASH,Little Wabash Fire Protection Dist,fire,Bond,Pass,,,Join fire district (Compton Pct Only)
1995 Nonpartisan Election,1995,04,WILL,Monee Fire Protection Dist,fire,Bond,Pass,,,Ambulance service
1995 Nonpartisan Election,1995,04,WILLIAMSON,Crab Orchard Comm Unit School Dist 3,school,Bond,Fail,,,Teacher's retirement fund
1995 Nonpartisan Election,1995,04,WINNEBAGO,Prairie Hill Comm Unit School Dist 133,school,Bond,Pass,,,Building bonds
1995 Nonpartisan Election,1995,04,BOONE,Village Of North Caledonia,village,Miscellaneous,Pass,,,Incorporate
1995 Nonpartisan Election,1995,04,BOONE,Village Of Timberlane,village,Miscellaneous,Pass,,,Incorporate
