state,election,election_year,election_month,referendum_type,gov_unit_name,county,gov_type,amount_or_rate,result_raw,result
IN,November 2009,2009,11,Controlled Project,Batesville Community School Corporation,Franklin and Ripley Counties,school,,FAILED,Failed
IN,November 2009,2009,11,Controlled Project,MSD of Perry Township,Marion County,school,,FAILED,Failed
IN,November 2009,2009,11,Controlled Project,Southwest Dubois County School Corporation,Dubois County,school,,PASSED,Passed
IN,November 2009,2009,11,Controlled Project,Tell City - Troy Township School Corporation,Perry County,school,,FAILED,Failed
IN,November 2009,2009,11,Controlled Project,Wishard Hospital Project,Marion County,hospital,,PASSED,Passed
IN,November 2009,2009,11,School Operating/Capital Levy,Beech Grove City Schools,Marion County,school,"$1.5 million; $114 per year for a property owner with a home valued at $100,000 (according to district)",PASSED,Passed
IN,November 2009,2009,11,School Operating/Capital Levy,Franklin Township Community School Corporation,Marion County,school,$0.3333 on each $100 of assessed value,FAILED,Failed
IN,November 2009,2009,11,School Operating/Capital Levy,Franklin Township Community School Corporation,Marion County,school,$0.1667 on each $100 of assessed value,FAILED,Failed
IN,November 2009,2009,11,School Operating/Capital Levy,Hamilton Southeastern Schools,Hamilton County,school,"$5,500,000",PASSED,Passed
IN,November 2009,2009,11,School Operating/Capital Levy,Southern Wells Community Schools,Wells County,school,$0.127 on each $100 of assessed value,PASSED,Passed
IN,May 2010,2010,05,Controlled Project,Decatur County Community School Corporation,Decatur and Shelby Counties,school,,FAILED,Failed
IN,May 2010,2010,05,Controlled Project,Johnson County Jail Expansion Project,Johnson County,county,,FAILED,Failed
IN,May 2010,2010,05,Controlled Project,MSD of Pike Township - New Guion Creek Elementary,Marion County,school,,PASSED,Passed
IN,May 2010,2010,05,Controlled Project,Noblesville School Corporation,Hamilton County,school,,PASSED,Passed
IN,May 2010,2010,05,Controlled Project,Northern Wells Community Schools,Wells County,school,,FAILED,Failed
IN,May 2010,2010,05,Controlled Project,Rensselaer Central School Corporation,Jasper County,school,,PASSED,Passed
IN,May 2010,2010,05,Controlled Project,Rossville Consolidated School District,Carroll and Clinton Counties,school,,FAILED,Failed
IN,May 2010,2010,05,School Operating/Capital Levy,Carmel Clay Schools,Hamilton County,school,$0.16 on each $100 of assessed value,PASSED,Passed
IN,May 2010,2010,05,School Operating/Capital Levy,Clark Community School Corporation,Clark County,school,$0.24 on each $100 of assessed value,FAILED,Failed
IN,May 2010,2010,05,School Operating/Capital Levy,MSD of Washington Township,Marion County,school,$0.08 on each $100 of assessed value,PASSED,Passed
IN,May 2010,2010,05,School Operating/Capital Levy,Noblesville Schools,Hamilton County,school,$0.2115 on each $100 of assessed value,PASSED,Passed
IN,May 2010,2010,05,School Operating/Capital Levy,School Town of Speedway,Marion County,school,$0.59 on each $100 of assessed value,PASSED,Passed
IN,May 2010,2010,05,School Operating/Capital Levy,West Lafayette School Corporation,Tippecanoe County,school,$0.43 on each $100 of assessed value,PASSED,Passed
IN,May 2010,2010,05,School Operating/Capital Levy,Western Boone County Community School Corporation,Boone County,school,$0.19 on each $100 of assessed value,FAILED,Failed
IN,November 2010,2010,11,Controlled Project,Hamilton Southeastern Schools,Hamilton County,school,,PASSED,Passed
IN,November 2010,2010,11,Controlled Project,Lebanon Community School Corporation,Boone County,school,,PASSED,Passed
IN,November 2010,2010,11,Controlled Project,Randolph Central School Corporation (Winchester Community Fieldhouse),Randolph County,school,,FAILED,Failed
IN,November 2010,2010,11,Controlled Project,Randolph Central School Corporation (Winchester Community High School and Lee L. Driver Middle School Combo Building),Randolph County,school,,FAILED,Failed
IN,November 2010,2010,11,Controlled Project,Tell City-Troy Township School Corporation,Perry County,school,,FAILED,Failed
IN,November 2010,2010,11,School Operating/Capital Levy,Anderson Community School Corporation,Madison County,school,$0.55 on each $100 of assessed value,FAILED,Failed
IN,November 2010,2010,11,School Operating/Capital Levy,Brown County Schools,Brown County,school,$0.01 on each $100 of assessed value,PASSED,Passed
IN,November 2010,2010,11,School Operating/Capital Levy,Cannelton City Schools,Perry County,school,$0.41 on each $100 of assessed value,PASSED,Passed
IN,November 2010,2010,11,School Operating/Capital Levy,Center Grove Community School Corporation,,school,$0.15 on each $100 of assessed value,FAILED,Failed
IN,November 2010,2010,11,School Operating/Capital Levy,East Allen County Schools,Allen County,school,$0.3709 on each $100 of assessed value,FAILED,Failed
IN,November 2010,2010,11,School Operating/Capital Levy,Elwood Community School Corporation,Madison County,school,$0.50 on each $100 of assessed value,FAILED,Failed
