Reorganized Political Subdivision Referendum | November 2024 Elections | Town of Sheridan and Adams Township, Hamilton County |
Reorganized Political Subdivision Referendum | November 2020 Elections | Town of Middletown and Fall Creek Township, Henry County |
Transit Referendum | November 2016 Elections | Central Indiana Public Transportation Project, Marion County | PASSED
Historic Controlled Project Referenda | November 2023 Elections | School City of Hammond, Lake County |
Historic Controlled Project Referenda | May 2023 Elections | Indianapolis Public Schools, Marion County |
Historic Controlled Project Referenda | November 2022 Elections | MSD of Wabash County, Wabash County | FAILED (certified)
Historic Controlled Project Referenda | May 2022 Elections | Franklin Township Community School Corporation, Marion County | FAILED (certified)
Historic Controlled Project Referenda | May 2022 Elections | Lebanon Community School Corporation, Boone County | PASSED (certified)
Historic Controlled Project Referenda | May 2022 Elections | Vigo County School Corporation, Vigo County | FAILED (certified)
Historic Controlled Project Referenda | June 2020 Elections | Beech Grove City School Corporation, Marion County | Passed (certified)
Historic Controlled Project Referenda | June 2020 Elections | Fort Wayne Community School District, Allen County | Passed (certified)
Historic Controlled Project Referenda | June 2020 Elections | Hanover Community School Corporation, Lake County | Passed (certified)
Historic Controlled Project Referenda | June 2020 Elections | MSD Washington Township, Marion County | Passed (certified)
Historic Controlled Project Referenda | June 2020 Elections | South Bend Community School Corporation, St Joseph County |
Historic Controlled Project Referenda | November 2019 Elections | Danville Community Schools, Hendricks County | FAILED (certified)
Historic Controlled Project Referenda | November 2019 Elections | Huntington County Community Schools, Huntington County | FAILED (certified)
Historic Controlled Project Referenda | November 2019 Elections | MSD Lawrence Township, Marion County | PASSED (certified)
Historic Controlled Project Referenda | November 2019 Elections | Scott County School District Number 1, Scott County | PASSED (certified)
Historic Controlled Project Referenda | November 2019 Elections | Washington Community Schools, Daviess County | FAILED (certified)
Historic Controlled Project Referenda | November 2019 Elections | Zionsville Community Schools, Boone County | PASSED (certified)
Historic Controlled Project Referenda | May 2019 Elections | DeKalb County Central United School District, DeKalb County and Steuben County |
Historic Controlled Project Referenda | May 2019 Elections | Hanover Community School Corporation, Lake County | FAILED (certified)
Historic Controlled Project Referenda | November 2018 Elections | Indianapolis Public School Corporation, Marion County | PASSED (certified)
Historic Controlled Project Referenda | November 2018 Elections | Lake Ridge School Corporation, Lake County | FAILED (certified)
Historic Controlled Project Referenda | November 2018 Elections | Manchester Community Schools, Wabash County | FAILED (certified)
Historic Controlled Project Referenda | November 2018 Elections | Town of Highland Park District, Lake County | FAILED (certified)
Historic Controlled Project Referenda | May 2018 Elections | Alexandria Community School Corporation, Madison County | PASSED (certified)
Historic Controlled Project Referenda | May 2018 Elections | Anderson Community School Corporation, Madison County | PASSED (certified)
Historic Controlled Project Referenda | May 2018 Elections | Goshen Community Schools, Elkhart County |
Historic Controlled Project Referenda | May 2018 Elections | Hancock County | FAILED (certified)
Historic Controlled Project Referenda | May 2018 Elections | North West Allen County School Corporation, Allen County | PASSED (certified)
Historic Controlled Project Referenda | November 2017 Elections | School City of Hammond, Lake County |
Historic Controlled Project Referenda | November 2017 Elections | School City of Hobart, Lake County |
Historic Controlled Project Referenda | November 2017 Elections | West Clark Community Schools, Clark County |
Historic Controlled Project Referenda | May 2017 Elections | School Town of Munster, Lake County |
Historic Controlled Project Referenda | May 2017 Elections | Westfield Washington School Corporation, Hamilton County | PASSED
Historic Controlled Project Referenda | November 2016 Elections | Jasper Public Library, Dubois County |
Historic Controlled Project Referenda | November 2016 Elections | MSD Washington Township, Marion County |
Historic Controlled Project Referenda | November 2016 Elections | New Albany - Floyd County Consolidated School Corporation, Floyd County |
Historic Controlled Project Referenda | November 2016 Elections | School City of Mishawaka, St. Joseph County |
Historic Controlled Project Referenda | May 2016 Elections | Fort Wayne Community Schools, Allen County |
Historic Controlled Project Referenda | May 2016 Elections | New Prairie United School Corporation, LaPorte & St. Joseph Counties |
Historic Controlled Project Referenda | November 2015 Elections | Greater Clark County Schools, Clark County |
Historic Controlled Project Referenda | November 2015 Elections | East Noble School Corporation, Noble County |
Historic Controlled Project Referenda | November 2015 Elections | Whitley County Consolidated Schools, Whitley County |
Historic Controlled Project Referenda | May 2015 Elections | Brownsburg Community School Corporation, Hendricks County |
Historic Controlled Project Referenda | May 2015 Elections | Community Schools of Frankfort, Clinton County |
Historic Controlled Project Referenda | May 2015 Elections | New Albany-Floyd County Consolidated School Corporation, Floyd County |
Historic Controlled Project Referenda | May 2015 Elections | Perry Township Schools, Marion County | PASSED
Historic Controlled Project Referenda | May 2015 Elections | School City of Beech Grove, Marion County |
Historic Controlled Project Referenda | May 2015 Elections | Valparaiso Community Schools, Porter County |
Historic Controlled Project Referenda | May 2015 Elections | Warsaw Community Schools, Kosciusko County |
Historic Controlled Project Referenda | November 2014 Elections | East Noble School Corporation, Noble County |
Historic Controlled Project Referenda | May 2014 Elections | Elkhart Community Schools, Elkhart County |
Historic Controlled Project Referenda | May 2014 Elections | Madison Consolidated Schools, Jefferson County |
Historic Controlled Project Referenda | November 2013 Elections | Goshen Community Schools, Elkhart County |
Historic Controlled Project Referenda | November 2013 Elections | School City of Mishawaka, St. Joseph County | FAILED
Historic Controlled Project Referenda | May 2013 Elections | The City of Vincennes Parks and Recreation Department, Knox County |
Historic Controlled Project Referenda | May 2013 Elections | Hamilton Southeastern Schools, Hamilton County |
Historic Controlled Project Referenda | May 2013 Elections | Knox Community School Corporation, Starke County |
Historic Controlled Project Referenda | May 2013 Elections | Noblesville Schools, Hamilton County |
Historic Controlled Project Referenda | May 2012 Elections | Crawfordsville Community School Corporation |
Historic Controlled Project Referenda | May 2012 Elections | East Allen County Schools |
Historic Controlled Project Referenda | May 2012 Elections | Fort Wayne Community Schools |
Historic Controlled Project Referenda | May 2012 Elections | Hartford City Public Library |
Historic Controlled Project Referenda | May 2012 Elections | Johnson County Public Library |
Historic Controlled Project Referenda | May 2012 Elections | Northern Wells Community School Corporation |
Historic Controlled Project Referenda | November 2011 Elections | City of Greenwood, Johnson County | Did not appear on ballot.
Historic Controlled Project Referenda | November 2011 Elections | Jasper Public Library, Dubois County | FAILED
Historic Controlled Project Referenda | November 2011 Elections | Lake Central School Corporation, Lake County |
Historic Controlled Project Referenda | November 2011 Elections | Randolph Central School Corporation, Randolph County | FAILED
Historic Controlled Project Referenda | May 2011 Elections | MSD Perry Township School Corporation, Marion County | PASSED
Historic Controlled Project Referenda | May 2011 Elections | Oak Hill United School Corporation, Grant and Miami Counties | FAILED
Historic Controlled Project Referenda | November 2010 Elections | Hamilton Southeastern Schools, Hamilton County | PASSED
Historic Controlled Project Referenda | November 2010 Elections | Lebanon Community School Corporation, Boone County | PASSED
Historic Controlled Project Referenda | November 2010 Elections | Randolph Central School Corporation (Winchester Community High School and Lee L. Driver Middle School Combo Building), Randolph County | FAILED
Historic Controlled Project Referenda | November 2010 Elections | Randolph Central School Corporation (Winchester Community Fieldhouse), Randolph County | FAILED
Historic Controlled Project Referenda | November 2010 Elections | Tell City-Troy Township School Corporation, Perry County | FAILED
Historic Controlled Project Referenda | May 2010 Elections | Decatur County Community School Corporation, Decatur and Shelby Counties | FAILED
Historic Controlled Project Referenda | May 2010 Elections | Johnson County Jail Expansion Project, Johnson County | FAILED
Historic Controlled Project Referenda | May 2010 Elections | MSD of Pike Township - New Guion Creek Elementary, Marion County | PASSED
Historic Controlled Project Referenda | May 2010 Elections | Noblesville School Corporation, Hamilton County | PASSED
