election_date,parish_code,parish,race_id,specific_title,summary_text,full_text,votes_yes,votes_no,pct_yes,voters_qualified,voters_voted,result
2005-01-15,01,Acadia,3760,Offtrack Wagering -- Parishwide - Lic. of offtrack wagering - PJ,"OFFTRACK WAGERING PROPOSITION  SUMMARY:  TO AUTHORIZE THE LICENSING OF OFFTRACK WAGERING FACILITIES IN THE PARISH OF ACADIA, STATE OF LOUISIANA.","Shall the Louisiana State Racing Commission be authorized to license offtrack wagering facilities in the Parish of Acadia, State of Louisiana, pursuant to the provisions of Part II of Chapter 4 of Title 4 of the Louisiana Revised Statutes of 1950 (R.S. 4:211-227)?",1364,4357,23.84,-1,-1,Fail
2005-01-15,01,Acadia,3761,Town of Iota -- Prop.#1 - 5 Mill Street-Mayor & BOA - 10 Yr.,"PROPOSITION NO. 1 (STREET MAINTENANCE TAX)  SUMMARY: TO AUTHORIZE THE TOWN OF IOTA TO LEVY AND COLLECT A FIVE (5) MILL TAX, ANNUALLY FOR A PERIOD OF TEN (10) YEARS FOR THE PURPOSE OF CONSTRUCTING AND MAINTAINING STREETS, ROADS, HIGHWAYS AND AVENUES WITHIN SAID TOWN.","Shall the Town of Iota, State of Louisiana, (the ""Town"") under the provisions of Article VI, Section 27(b), Section 30(A) and Section 32 of the Constitution of the State of Louisiana of 1974, levy a Five (5) Mill Tax on all property subject to taxation situated in said Town, annually for a period of ten (10) years, commencing with the year 2005 and ending in the year 2014 on all property situated in the Town of Iota, Acadia Parish, Louisiana, for the purpose of paying the costs of constructing and maintaining streets, roads, highways and avenues within the said Town?",68,68,50.0,-1,-1,Fail
2005-01-15,01,Acadia,3762,Town of Iota -- Prop.#2 - 5 Mill Bldg. - Mayor & BOA - 10 Yr,"PROPOSITION NO. 2 (BUILDING, BRIDGE AND DRAINAGE MAINTENANCE TAX)  SUMMARY: TO AUTHORIZE THE TOWN OF IOTA TO LEVY AND COLLECT A FIVE (5) MILL TAX, ANNUALLY FOR A PERIOD OF TEN (10) YEARS FOR THE PURPOSE OF MAINTAINING PUBLIC BUILDINGS; CONSTRUCTING, IMPROVING AND MAINTAINING BRIDGES AND THE DRAINAGE SYSTEM WITHIN SAID TOWN.","Shall the Town of Iota, State of Louisiana, (the ""Town"") under the provisions of Article VI, Section 27(b), Section 30(A) and Section 32 of the Constitution of the State of Louisiana of 1974, levy a Five (5) Mill Tax on all property subject to taxation situated in said Town, annually for a period of ten (10) years, commencing with the year 2005 and ending in the year 2014 on all property situated in the Town of Iota, Acadia Parish, Louisiana, for the purpose of maintaining public buildings; constructing, improving and maintaining bridges and the drainage system within said Town?",66,68,49.25,-1,-1,Fail
2005-01-15,02,Allen,3763,Parishwide School -- 5.13 Mills - School Board - 10 Yr.,PARISHWIDE PROPOSITION (TAX RENEWAL)  SUMMARY:  10 YEAR 5.13 MILLS PROPERTY TAX RENEWAL FOR GIVING ADDITIONAL SUPPORT TO THE PUBLIC ELEMENTARY AND SECONDARY SCHOOLS IN ALLEN PARISH.,"Shall Allen Parish School District of the Parish of Allen, State of Louisiana (the ""District""), levy a special tax of five and thirteen hundredths (5.13) mills on all the property subject to taxation within said District, for period of ten (10) years, beginning with the year 2005 and ending with the year 2014, for the purpose of giving additional support to the public elementary and secondary schools in the District?",1210,1474,45.08,-1,-1,Fail
2005-01-15,02,Allen,3764,School District No.  3 -- 7.20 Mills - School Board - 10 Yr.,"SCHOOL DISTRICT NO. 3 PROPOSITION (TAX CONTINUATION)  SUMMARY:  10 YEAR 7.20 MILLS PROPERTY TAX CONTINUATION FOR CONSTRUCTING, IMPROVING, OPERATING AND MAINTAINING SCHOOL FACILITIES IN AND FOR SCHOOL DISTRICT NO. 3.","Shall School District No. 3 of the Parish of Allen, State of Louisiana (the ""District""), be authorized to continue to levy a special tax of seven and twenty hundredths (7.20) mills on all the property subject to taxation within said District, for a period of ten (10) years, beginning with the year 2005 and ending with the year 2014, for the purpose of constructing, improving, operating and maintaining school facilities in and for said District?",116,79,59.49,-1,-1,Pass
2005-01-15,02,Allen,3765,School District No.  4-A -- 19.74 Mills - School Board - 10 Yr.,"SCHOOL DISTRICT NO. 4-A PROPOSITION (TAX CONTINUATION)  SUMMARY:  10 YEAR 19.74 MILLS TAX CONTINUATION FOR CONSTRUCTING, IMPROVING, OPERATING AND MAINTAINING SCHOOL FACILITIES IN AND FOR SCHOOL DISTRICT NO. 4-A.","Shall School District No. 4-A of the Parish of Allen, State of Louisiana (the  ""District""), be authorized to continue to levy a special tax of nineteen and seventy-four hundredths (19.74) mills on all the property subject to taxation within said District, for a period of ten (10) years, beginning with the year 2005 and ending with the year 2014, for the purpose of constructing, improving, operating and maintaining school facilities in and for said District?",215,80,72.88,-1,-1,Pass
2005-01-15,02,Allen,3766,School District No.  5 -- 7.62 Mills - School Board - 10 Yr.,"SCHOOL DISTRICT NO. 5 PROPOSITION (TAX CONTINUATION)  SUMMARY:  10 YEAR 7.62 MILLS TAX CONTINUATION FOR CONSTRUCTING, IMPROVING, OPERATING AND MAINTAINING, SCHOOL FACILITIES IN AND FOR SCHOOL DISTRICT NO. 5.","Shall School District No. 5 of the Parish of Allen, State of Louisiana (the ""District""), be authorized to continue to levy a special tax of seven and sixty-*two hundredths (7.62) mills on all the property subject to taxation within said District, for a period of ten (10) years, beginning with the year 2006 and ending with the year 2015, for the purpose of constructing, improving, operating and maintaining school facilities in and for said District?",314,544,36.6,-1,-1,Fail
2005-01-15,02,Allen,3767,School District No. 25 -- 5.16 Mills - School Board - 10 Yr.,"SCHOOL DISTRICT NO. 25 PROPOSITION (TAX RENEWAL)  SUMMARY:  10 YEAR 5.16 MILLS TAX RENEWAL FOR CONSTRUCTING, IMPROVING, OPERATING AND MAINTAINING SCHOOL FACILITIES IN AND FOR SCHOOL DISTRICT NO. 25.","Shall School District No. 25 of the Parish of Allen, State of Louisiana (the ""District""), levy a special tax of five and sixteen hundredths (5.16) mills on all the property subject to taxation within said District, for a period of ten (10) years, beginning with the year 2006 and ending with the year 2015, for the purpose of constructing, improving, operating and maintaining school facilities in and for said District?",285,330,46.34,-1,-1,Fail
2005-01-15,02,Allen,3768,School District Ward One -- 5.29 Mills - School Board - 10 Yr.,"SCHOOL DISTRICT WARD ONE PROPOSITION (TAX CONTINUATION)  SUMMARY:  10 YEAR 5.29 MILLS TAX CONTINUATION FOR CONSTRUCTING, IMPROVING, OPERATING AND MAINTAINING SCHOOL FACILITIES IN AND FOR SCHOOL DISTRICT WARD ONE.","Shall School District Ward One of the Parish of Allen, State of Louisiana (the ""District""), be authorized to continue to levy a special tax of five and twenty-nine hundredths (5.29) mills on all the property subject to taxation within said District, for a period of ten (10) years, beginning with the year 2006 and ending with the year 2015, for the purpose of constructing, improving, operating and maintaining school facilities in and for said District?",218,351,38.31,-1,-1,Fail
2005-01-15,03,Ascension,3769,W. Ascn. Con. Drain. Dist -- 4.67 Mills - BOC - 5 Yrs.,"WEST ASCENSION CONSOLIDATED GRAVITY DRAINAGE DISTRICT PROPOSITION (TAX RENEWAL)  SUMMARY:  AUTHORIZATION FOR WEST ASCENSION CONSOLIDATED GRAVITY DRAINAGE DISTRICT TO RENEW A 5 YEAR, 4.67 MILLS PROPERTY TAX FOR THE PURPOSE OF PURCHASING NECESSARY EQUIPMENT, FINANCING SPECIAL PROJECTS AND FINANCING OTHER CAPITAL EXPENDITURES OF THE DISTRICT.","Shall the West Ascension Consolidated Drainage District of Ascension Parish, Louisiana renew and continue to levy and collect a four and sixty-seven hundredths (4.67) mills tax on all the property subject to taxation in said District for a period of five (5) years, beginning with the year 2006 and ending with the year 2010, for the purpose of purchasing necessary equipment, financing special projects and financing other capital expenditures of the District said tax being a renewal of an existing tax which will expire in 2005?",292,84,77.66,-1,-1,Pass
2005-01-15,05,Avoyelles,3770,Parishwide -- Prop.#1 - 6.20 Mill - PJ - 10 Yr.,PROPOSITION NO. 1  (LIBRARY TAX RENEWAL)  SUMMARY:   10 YEAR 6.20 MILLS PROPERTY TAX RENEWAL FOR PROVIDING NECESSARY FUNDS FOR THE MAINTENANCE AND SUPPORT OF THE AVOYELLES PARISH PUBLIC LIBRARIES.,"Shall the Parish of Avoyelles, State of Louisiana (the ""Parish""), levy a six and twenty hundredths (6.20) mills tax on all the property subject to taxation in the Parish for a period of ten (10) years, beginning with the year 2006 and ending with the year 2015, for the purpose of providing necessary funds for the maintenance and support of the Avoyelles Parish public libraries?",1566,796,66.3,-1,-1,Pass
2005-01-15,05,Avoyelles,3771,Parishwide -- Prop.#2 - 3 1/2 Mill - PJ - 10 Yr.,PROPOSITION NO. 2 (DRAINAGE TAX RENEWAL)    SUMMARY:  10 YEAR 3-1/2 MILLS PROPERTY TAX RENEWAL FOR PROVIDING NECESSARY FUNDS FOR DRAINAGE MAINTENANCE AND IMPROVEMENTS IN THE PARISH.,"Shall the Parish of Avoyelles, State of Louisiana (the ""Parish""), levy a three and one-half (3-1/2) mills tax on all the property subject to taxation in the Parish for a period of ten (10) years, beginning with the year 2006 and ending with the year 2015, for the purpose of providing necessary funds for drainage maintenance and improvements in the Parish?",1323,1030,56.23,-1,-1,Pass
2005-01-15,07,Bienville,3772,Parishwide -- 5.92 Mills - PJ - 10 yrs.,"PARISHWIDE PROPOSITION (TAX CONTINUATION)  SUMMARY:  10 YEAR 5.92 MILLS PROPERTY TAX CONTINUATION FOR BUILDING, IMPROVING AND MAINTAINING ROADS AND BRIDGES IN BIENVILLE PARISH.","Shall the Parish of Bienville, State of Louisiana (the ""Parish""), levy a five and ninety-two hundredths (5.92) mills tax on all the property subject to taxation in the Parish for a period of ten (10) years, beginning with the year 2006 and ending with the year 2015, for the purpose of providing necessary funds for the purpose of building, improving and maintaining roads and bridges in the Parish?",639,205,75.71,-1,-1,Pass
2005-01-15,09,Caddo,3773,Fire District No. 5 -- Prop.#1 - Service Charge - BOC - 10 Yrs.,"PROPOSITION NO. 1 (SERVICE CHARGE CONTINUATION)  SUMMARY:  AN ANNUAL SERVICE CHARGE CONTINUATION NOT TO EXCEED $75.00 PER YEAR ON EACH RESIDENTIAL AND COMMERCIAL STRUCTURE BEGINNING IN 2005, PROCEEDS TO BE USED FOR FIRE PROTECTION FOR CADDO PARISH FIRE DISTRICT NUMBER FIVE, INCLUDING EMERGENCY MEDICAL SERVICES, ACQUIRING, CONSTRUCTING, MAINTAINING AND OPERATING FIRE PROTECTION FACILITIES AND EQUIPMENT IN AND FOR THE DISTRICT, INCLUDING PAYING THE COST OF OBTAINING WATER FOR FIRE PROTECTION PURPOSES AND SALARIES OF FIREMEN AND ALL PURPOSES INCIDENTAL THERETO.","Shall Caddo Parish Fire District Number Five, State of Louisiana (the ""District""), continue to levy and collect an annual service charge not to exceed seventy-five dollars ($75.00) on each residential dwelling and commercial structure subject to taxation within the District pursuant to La. R.S. 40:1502.1, excluding that property annexed by the City of Shreveport prior to the election, for a period of ten (10) years, beginning with the year 2005 and ending with the year 2014, for the purposes of fire protection, including emergency medical services, acquiring, constructing, maintaining and operating fire protection facilities and equipment in and for the District, including paying the cost of obtaining water for fire protection purposes and salaries of firemen and all purposes incidental thereto?",147,39,79.03,-1,-1,Pass
2005-01-15,09,Caddo,3774,Fire District No. 5 -- Prop.#2 - 20 Mill - BOC -15 Yrs.,"PROPOSITION NO. 2 (MILLAGE)  SUMMARY:  15 YEAR, 20 MILL PROPERTY TAX FOR MAINTAINING AND OPERATING CADDO PARISH FIRE DISTRICT NUMBER FIVE'S FIRE  PROTECTION FACILITIES, FOR PURCHASING FIRE TRUCKS AND OTHER FIRE FIGHTING EQUIPMENT AND PAYING OTHER COSTS OF MAINTAINING AND OPERATING THE FIRE DEPARTMENT, INCLUDING SALARIES, OBTAINING WATER FOR FIRE PROTECTION PURPOSES, INCLUDING CHARGES FOR FIRE HYDRANT RENTALS AND SERVICES, AND ALL OTHER COSTS INCIDENTAL THERETO.","Shall Caddo Parish Fire District Number Five, State of Louisiana (the ""District""), levy and collect a tax not to exceed twenty (20) mills on all the property subject to taxation within said District, excluding that property annexed by the City of Shreveport prior to the election, for a period of fifteen  (15) years, beginning with the year 2005 and ending with the year 2019, for the purpose of maintaining and operating the District's fire protection facilities, for purchasing fire trucks and other fire fighting equipment and paying other costs of maintaining and operating the fire department, including salaries, obtaining water for fire protection purposes, including charges for fire hydrant rentals and services, and all other costs incidental thereto?",139,48,74.33,-1,-1,Pass
