measure_class,dor_code,municipality,fiscal_year,vote_date,description,department,amount,result,votes_yes,votes_no
debt_exclusion,335,Westwood,2001,1982-02-14,Expand And Equip Hs And Const. Of Fields,School,,Pass,2350,1982
debt_exclusion,335,Westwood,2002,1982-02-14,Renovate Equip-Martha Jones School,School,,Pass,2610,1724
debt_exclusion,317,Wellesley,1990,1982-03-01,Land,General Government,,Pass,1947,1008
debt_exclusion,317,Wellesley,2000,1982-03-01,Storm Drain Improvements,Public Works and Facilities,,Pass,1935,980
debt_exclusion,333,Weston,1990,1982-03-01,Schools,School,,Pass,913,826
debt_exclusion,059,Chester,2001,1982-03-04,School Recons.Project-Gateway Regional,School,,Pass,152,119
debt_exclusion,143,Huntington,2001,1982-03-04,Const-Repair Gateway Reg.School,School,,Pass,171,118
debt_exclusion,349,Worthington,2001,1982-03-04,Const.Reconst Various Reg.Schools,School,,Pass,163,34
debt_exclusion,015,Athol,2001,1982-04-01,Replace Upgrade Roof Of Memorial Bldg.,General Government,,Pass,1473,1191
debt_exclusion,133,Holbrook,2000,1982-04-01,Sewers,Public Works and Facilities,,Pass,867,622
debt_exclusion,197,Nantucket,1990,1982-04-01,Highway,Public Works and Facilities,,Pass,1253,685
debt_exclusion,279,Southwick,1990,1982-04-01,Sch.Roofs,School,,Pass,588,563
debt_exclusion,315,Wayland,1990,1982-04-01,Roads,Public Works and Facilities,,Pass,2040,1286
debt_exclusion,335,Westwood,1990,1982-04-01,Sewers,Public Works and Facilities,,Pass,1764,1535
debt_exclusion,342,Wilmington,1990,1982-04-01,Sewers,Public Works and Facilities,,Pass,1352,737
debt_exclusion,154,Leverett,2001,1982-04-08,Reconst. Schools And Remodel,School,,Pass,182,67
debt_exclusion,164,Lynnfield,2001,1982-04-10,Repair And Recons. Town Buildings,General Government,,Pass,2337,1439
debt_exclusion,199,Needham,2001,1982-04-10,Repairs And Const. Selected Schools,School,,Pass,5099,2070
debt_exclusion,351,Yarmouth,2001,1982-04-10,Design And Construct New Police Facility,Public Safety,,Pass,2823,1264
debt_exclusion,019,Ayer,2001,1982-04-24,Restore-Renovate Furnish-Work-Town Hall,General Government,,Pass,527,384
debt_exclusion,019,Ayer,2001,1982-04-24,Design Sewer System On Selected Streets,Public Works and Facilities,,Pass,586,318
debt_exclusion,019,Ayer,2001,1982-04-24,Design New Fire Station,Public Safety,,Pass,680,229
debt_exclusion,169,Marion,2001,1982-04-28,Maintenance Paving On Roads,Public Works and Facilities,,Pass,578,206
debt_exclusion,169,Marion,2001,1982-04-28,Radiot Communications Equip.-Fire Dept.,Public Safety,,Pass,563,218
debt_exclusion,058,Cheshire,1993,1982-05-01,Fire,Public Safety,,Pass,249,119
debt_exclusion,131,Hingham,2000,1982-05-01,Sewers,Public Works and Facilities,,Pass,2103,1761
debt_exclusion,194,Montgomery,2001,1982-05-01,Const. Repairs To Gateway Reg. Sch. Dist.,School,,Pass,29,8
debt_exclusion,273,Somerset,1990,1982-05-01,Sewerconstruc./Hywy Facility,Public Works and Facilities,,Pass,2479,1352
debt_exclusion,014,Ashland,2001,1982-05-02,Property Off East Union Street,General Operating,,Pass,404,343
debt_exclusion,298,Topsfield,2001,1982-05-03,Pumper Truck For Fire Dept,Public Safety,,Pass,327,272
debt_exclusion,333,Weston,2001,1982-05-06,Repair To Town Hall And Libraryl,General Government,,Pass,705,186
debt_exclusion,333,Weston,2001,1982-05-06,Repairs To Country And Woodland School,School,,Pass,731,162
debt_exclusion,333,Weston,2001,1982-05-06,Const. Of Surface Drains,Public Works and Facilities,,Pass,719,165
debt_exclusion,141,Hudson,2001,1982-05-08,Demolish Old And Build New High School,School,,Pass,1208,709
debt_exclusion,254,Rowley,2001,1982-05-09,104 Acres Of Land To Be Purchased,General Government,,Pass,881,284
debt_exclusion,301,Tyngsborough,2001,1982-05-09,Equip-Const. Furnish New Elementary Sch.,School,,Pass,2066,1276
debt_exclusion,288,Sudbury,2001,1982-05-15,Land Known As Piper Farm,General Government,,Pass,858,790
debt_exclusion,038,Boxford,2001,1982-05-16,Design And Services Of Police Building,Public Safety,,Pass,1231,531
debt_exclusion,126,Harwich,2001,1982-05-16,Renovation Of School,School,,Pass,1854,915
debt_exclusion,126,Harwich,2001,1982-05-16,Road Maintenance Program,Public Works and Facilities,,Pass,1792,950
debt_exclusion,126,Harwich,2001,1982-05-16,Purch.And Equip New Engine For Fire Dept,Public Safety,,Pass,1685,1109
debt_exclusion,126,Harwich,2001,1982-05-16,Reconstruct Dunbar Field,Culture and Recreation,,Pass,1655,1085
debt_exclusion,126,Harwich,2001,1982-05-16,New Generator For Community Center,Culture and Recreation,,Pass,1476,1279
debt_exclusion,126,Harwich,2001,1982-05-16,Street Sweeper For Highway Department,Public Works and Facilities,,Pass,1405,1323
debt_exclusion,126,Harwich,2001,1982-05-16,Front End Loader For Landfill,Public Works and Facilities,,Pass,1382,1352
debt_exclusion,282,Sterling,2001,1982-05-22,Const. And Repair Fire And Police Statio,Public Safety,,Pass,868,360
debt_exclusion,009,Andover,2001,1982-05-23,Const.Public Safety Center,Public Safety,,Pass,2361,2221
debt_exclusion,295,Tewksbury,2001,1982-05-27,Making Repairs To Middle School,School,,Pass,1352,610
debt_exclusion,171,Marshfield,1990,1982-06-01,Library,Culture and Recreation,,Pass,1685,1429
debt_exclusion,043,Brimfield,2001,1982-06-05,Remodel-Equip-Repairs To Reg.High School,School,,Pass,332,250
debt_exclusion,173,Mattapoisett,2001,1982-06-13,Engineering Design Costs,Public Works and Facilities,,Pass,411,308
debt_exclusion,168,Marblehead,2001,1982-06-19,Reconst Sewers For Drainage Purposes,Public Works and Facilities,,Pass,1373,625
debt_exclusion,200,New Ashford,2000,1982-07-01,Fire,Public Safety,,Pass,10,0
debt_exclusion,001,Abington,1990,1982-09-01,Sewers,Public Works and Facilities,,Pass,1614,1091
debt_exclusion,217,Northfield,1990,1982-11-01,Sewers,Public Works and Facilities,,Pass,581,364
debt_exclusion,290,Sutton,1990,1983-01-01,Mun/Center,General Government,,Pass,929,926
debt_exclusion,051,Carlisle,1990,1983-03-01,Regional High School Roof Repairs,School,,Pass,616,173
debt_exclusion,051,Carlisle,1997,1983-03-01,Fire,Public Safety,,Pass,586,206
debt_exclusion,167,Mansfield,1998,1983-03-01,Multiple,General Operating,,Pass,1217,1103
debt_exclusion,251,Rockland,1990,1983-03-01,Sewers,Public Works and Facilities,,Pass,1430,606
debt_exclusion,002,Acton,1990,1983-04-01,Schools/Regional Jr And High,School,,Pass,907,863
debt_exclusion,011,Ashburnham,1990,1983-04-01,Reg.Sch Roof/Oakmont,School,,Pass,471,164
debt_exclusion,013,Ashfield,1990,1983-04-01,Sewers,Public Works and Facilities,,Pass,271,116
debt_exclusion,088,Easton,1990,1983-04-01,Land,General Government,,Pass,1369,905
debt_exclusion,088,Easton,1990,1983-04-01,Land,General Government,,Pass,1316,933
debt_exclusion,088,Easton,1990,1983-04-01,Land,General Government,,Pass,1361,911
debt_exclusion,088,Easton,1990,1983-04-01,Land,General Government,,Pass,1363,897
debt_exclusion,088,Easton,1990,1983-04-01,Fire,Public Safety,,Pass,1371,957
debt_exclusion,332,Westminster,2000,1983-04-01,Schools,School,,Pass,550,171
debt_exclusion,088,Easton,2019,1983-04-25,Addition To Police Station,Public Safety,,Fail,1014,1311
debt_exclusion,041,Brewster,1991,1983-05-01,Develop Wellfield/Pump Station,Public Works and Facilities,,Pass,1303,316
debt_exclusion,041,Brewster,2000,1983-05-01,Golf Course Construction,Culture and Recreation,,Pass,1330,369
debt_exclusion,070,Dalton,1990,1983-05-01,School Roof,School,,Pass,659,300
debt_exclusion,099,Foxborough,1996,1983-05-01,Sewers,Public Works and Facilities,,Pass,1474,1114
debt_exclusion,120,Hampden,1991,1983-05-01,Schools,School,,Pass,552,247
debt_exclusion,126,Harwich,1990,1983-05-01,Water,Public Works and Facilities,,Pass,774,322
debt_exclusion,193,Monterey,1990,1983-05-01,Garage,Public Works and Facilities,,Pass,98,44
debt_exclusion,224,Orleans,1998,1983-05-01,Constr/Sewers/Treatmt Facility,Public Works and Facilities,,Pass,1507,751
debt_exclusion,301,Tyngsborough,2000,1983-05-01,Sewers,Public Works and Facilities,,Pass,759,380
debt_exclusion,301,Tyngsborough,2000,1983-05-01,Police,Public Safety,,Pass,835,321
debt_exclusion,333,Weston,1990,1983-05-01,Fire,Public Safety,,Pass,675,235
debt_exclusion,024,Belchertown,2000,1983-06-01,Schools,School,,Pass,531,389
debt_exclusion,052,Carver,1990,1983-06-01,Schools,School,,Pass,524,131
debt_exclusion,133,Holbrook,2000,1983-09-01,Sewers,Public Works and Facilities,,Pass,605,409
debt_exclusion,261,Sandwich,1990,1983-09-01,Library,Culture and Recreation,,Pass,649,354
debt_exclusion,018,Avon,1990,1983-11-01,Water,Public Works and Facilities,,Pass,289,72
debt_exclusion,157,Lincoln,1990,1983-11-01,Land,General Government,,Pass,321,38
debt_exclusion,157,Lincoln,1993,1983-11-01,Const,General Government,,Pass,301,55
debt_exclusion,224,Orleans,2000,1983-12-01,Constr/Septage/Treatmt Plant,Public Works and Facilities,,Pass,483,116
debt_exclusion,233,Peru,1990,1984-02-01,Dump Truck,Public Works and Facilities,,Pass,38,2
