state,election_date,scope,question_id,question_name,district_or_muni_id,yes_votes,no_votes,total_votes,pct_yes,outcome
MN,2020-11-03,City,1131,CITY QUESTION 1 (Ada),00172,551,273,824,66.87,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Appleton),01864,447,182,629,71.07,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Bemidji),05068,3543,2955,6498,54.52,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Biwabik),06148,329,165,494,66.6,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Bloomington),06616,26732,22404,49136,54.4,Passed
MN,2020-11-03,City,1132,CITY QUESTION 2 (Bloomington),06616,14487,35188,49675,29.16,Failed
MN,2020-11-03,City,1133,CITY QUESTION 3 (Bloomington),06616,25339,24158,49497,51.19,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Cosmos),13420,55,169,224,24.55,Failed
MN,2020-11-03,City,1131,CITY QUESTION 1 (East Grand Forks),17612,2136,1029,3165,67.49,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Echo),17900,87,41,128,67.97,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Farmington),20618,4162,6330,10492,39.67,Failed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Halstad),26630,145,67,212,68.4,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Holt),29870,36,11,47,76.6,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (International Falls),31040,1423,1557,2980,47.75,Failed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Keewatin),32570,306,228,534,57.3,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Long Prairie),38060,807,343,1150,70.17,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Manhattan Beach),39806,15,26,41,36.59,Failed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Minneapolis),43000,142777,46664,189441,75.37,Passed
MN,2020-11-03,City,1132,CITY QUESTION 2 (Minneapolis),43000,164883,24738,189621,86.95,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Minnetonka),43252,18475,15293,33768,54.71,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Princeton),52522,681,1645,2326,29.28,Failed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Rochester),54880,37958,23864,61822,61.4,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Shakopee),59350,8317,11799,20116,41.35,Failed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Vesta),66982,98,24,122,80.33,Passed
MN,2020-11-03,City,1131,CITY QUESTION 1 (Waite Park),67612,1359,1399,2758,49.27,Failed
MN,2020-11-03,School (referendum/bond),5031,SCHOOL DISTRICT QUESTION 1 (ISD #1),0001,2820,2965,5785,48.75,Failed
MN,2020-11-03,School (referendum/bond),5031,SCHOOL DISTRICT QUESTION 1 (ISD #14),0014,5202,2559,7761,67.03,Passed
