election_date,contest_name,county,counties,votes_for,votes_against,pct_for,result
2008-11-04,CAPE FEAR COMMUNITY COLLEGE BOND,NEW HANOVER,NEW HANOVER,54974,33594,62.07,Pass
2008-11-04,CITY OF CHARLOTTE HOUSING BONDS,MECKLENBURG,MECKLENBURG,182891,109441,62.56,Pass
2008-11-04,CITY OF CHARLOTTE NEIGHBORHOOD IMPROVEMENT BONDS,MECKLENBURG,MECKLENBURG,205528,89187,69.74,Pass
2008-11-04,CITY OF CHARLOTTE STREET BONDS,MECKLENBURG,MECKLENBURG,217527,75012,74.36,Pass
2008-11-04,CITY OF GREENSBORO HOUSING BONDS,GUILFORD,GUILFORD,68191,53526,56.02,Pass
2008-11-04,CITY OF GREENSBORO PARKS AND RECREATIONAL FACILITIES BONDS,GUILFORD,GUILFORD,69709,52672,56.96,Pass
2008-11-04,CITY OF GREENSBORO STREET IMPROVEMENT BONDS,GUILFORD,GUILFORD,70320,50192,58.35,Pass
2008-11-04,CITY OF GREENSBORO WAR MEMORIAL AUDITORIUM BONDS,GUILFORD,GUILFORD,51307,69130,42.6,Fail
2008-11-04,COLUMBIA-UNION WATER-SEWER DISTRICT WATER BONDS,PENDER,PENDER,983,1151,46.06,Fail
2008-11-04,COUNTY LIBRARY BONDS REFERENDUM,GRANVILLE,GRANVILLE,13500,7191,65.25,Pass
2008-11-04,COUNTY PARK AND RECREATION BONDS,MECKLENBURG,MECKLENBURG,232648,144528,61.68,Pass
2008-11-04,EDUCATIONAL FACILITIES BONDS,FORSYTH,FORSYTH,92445,55770,62.37,Pass
2008-11-04,RECREATION FACILITIES AND SENIOR CENTER BONDS REFERENDUM,PERSON,PERSON,8800,7181,55.07,Pass
2008-11-04,TOWN OF BOONE WATER BONDS,WATAUGA,WATAUGA,5554,2097,72.59,Pass
2010-05-04,CITY OF GASTONIA PARKS AND RECREATION IMPROVEMENT BONDS,GASTON,GASTON,2298,2412,48.79,Fail
2010-05-04,CITY OF GASTONIA STREET AND SIDEWALK IMPROVEMENT BONDS,GASTON,GASTON,2589,2133,54.83,Pass
2010-05-04,EDGECOMBE COUNTY WATER BONDS,EDGECOMBE,EDGECOMBE,158,37,81.03,Pass
2010-06-22,GOLDSTON BOND REFERENDUM,CHATHAM,CHATHAM,92,14,86.79,Pass
2010-11-02,CITY OF CHARLOTTE HOUSING BONDS,MECKLENBURG,MECKLENBURG,96570,72936,56.97,Pass
2010-11-02,CITY OF CHARLOTTE NEIGHBORHOOD IMPROVEMENT BONDS,MECKLENBURG,MECKLENBURG,106208,63772,62.48,Pass
2010-11-02,CITY OF CHARLOTTE STREET BONDS,MECKLENBURG,MECKLENBURG,108730,61485,63.88,Pass
2010-11-02,CITY OF DURHAM STREET IMPROVEMENT BONDS,DURHAM,DURHAM,34716,26290,56.91,Pass
2010-11-02,LIBRARY BOND REFERENDUM,FORSYTH,FORSYTH,50377,37718,57.18,Pass
2010-11-02,ROWAN-CABARRUS COMMUNITY COLLEGE BONDS,ROWAN,ROWAN,18119,14514,55.52,Pass
2010-11-02,VILLAGE OF SIMPSON SEWER BONDS,PITT,PITT,82,104,44.09,Fail
2011-10-11,CITY OF RALEIGH HOUSING BONDS REFERENDUM,WAKE,WAKE;DURHAM,34850,21116,62.27,Pass
2011-10-11,CITY OF RALEIGH TRANSPORTATION BONDS REFERENDUM,WAKE,WAKE;DURHAM,37560,18336,67.2,Pass
2011-11-08,CUMBERLAND COUNTY - GRAY'S CREEK WATER AND SEWER DISTRICT BONDS REFERENDUM,CUMBERLAND,CUMBERLAND,165,883,15.74,Fail
2011-11-08,TOWN OF HOLLY SPRINGS PARKS AND RECREATION BONDS REFERENDUM,WAKE,WAKE,1499,1035,59.16,Pass
2011-11-08,TOWN OF INDIAN TRAIL PARKS AND RECREATION BONDS REFERENDUM,UNION,UNION,908,1004,47.49,Fail
2011-11-08,TOWN OF INDIAN TRAIL STREET AND SIDEWALK BONDS REFERENDUM,UNION,UNION,1000,913,52.27,Pass
