state,election_date,parish_code,parish,precinct,race_id,votes_yes,votes_no,total,pct_yes,voters_qualified,voters_voted
LA,2005-01-15,01,Acadia,01/01,3760,60,96,156,38.46,,
LA,2005-01-15,01,Acadia,01/02A,3760,38,52,90,42.22,,
LA,2005-01-15,01,Acadia,01/02B,3760,39,104,143,27.27,,
LA,2005-01-15,01,Acadia,01/03A,3760,79,130,209,37.8,,
LA,2005-01-15,01,Acadia,01/03B,3760,34,77,111,30.63,,
LA,2005-01-15,01,Acadia,01/04A,3760,43,75,118,36.44,,
LA,2005-01-15,01,Acadia,01/04B,3760,31,94,125,24.8,,
LA,2005-01-15,01,Acadia,01/05A,3760,40,64,104,38.46,,
LA,2005-01-15,01,Acadia,01/05B,3760,36,30,66,54.55,,
LA,2005-01-15,01,Acadia,01/06,3760,87,74,161,54.04,,
LA,2005-01-15,01,Acadia,01/07,3760,77,82,159,48.43,,
LA,2005-01-15,01,Acadia,01/08,3760,43,56,99,43.43,,
LA,2005-01-15,01,Acadia,01/09,3760,33,94,127,25.98,,
LA,2005-01-15,01,Acadia,02/01,3760,38,83,121,31.4,,
LA,2005-01-15,01,Acadia,02/02,3760,25,78,103,24.27,,
LA,2005-01-15,01,Acadia,02/03,3760,24,96,120,20.0,,
LA,2005-01-15,01,Acadia,02/04,3760,5,82,87,5.75,,
LA,2005-01-15,01,Acadia,02/05,3760,12,68,80,15.0,,
LA,2005-01-15,01,Acadia,03/01,3760,40,85,125,32.0,,
LA,2005-01-15,01,Acadia,03/02,3760,17,71,88,19.32,,
LA,2005-01-15,01,Acadia,03/03A,3760,28,71,99,28.28,,
LA,2005-01-15,01,Acadia,03/03B,3760,15,64,79,18.99,,
LA,2005-01-15,01,Acadia,03/04,3760,18,70,88,20.45,,
LA,2005-01-15,01,Acadia,03/05,3760,4,17,21,19.05,,
LA,2005-01-15,01,Acadia,03/06,3760,16,34,50,32.0,,
LA,2005-01-15,01,Acadia,03/07,3760,41,65,106,38.68,,
LA,2005-01-15,01,Acadia,04/01,3760,4,64,68,5.88,,
LA,2005-01-15,01,Acadia,04/02,3760,12,121,133,9.02,,
LA,2005-01-15,01,Acadia,04/03,3760,5,21,26,19.23,,
LA,2005-01-15,01,Acadia,04/04,3760,13,127,140,9.29,,
LA,2005-01-15,01,Acadia,04/05,3760,5,91,96,5.21,,
LA,2005-01-15,01,Acadia,04/06,3760,13,72,85,15.29,,
