state,election_date,county,precinct,contest_name,votes_for,votes_against,total,pct_for
NC,2008-11-04,NEW HANOVER,ABSENTEE BY MAIL,CAPE FEAR COMMUNITY COLLEGE BOND,2545,2420,4965,51.26
NC,2008-11-04,NEW HANOVER,CF01,CAPE FEAR COMMUNITY COLLEGE BOND,1250,733,1983,63.04
NC,2008-11-04,NEW HANOVER,CF02,CAPE FEAR COMMUNITY COLLEGE BOND,868,689,1557,55.75
NC,2008-11-04,NEW HANOVER,CF05,CAPE FEAR COMMUNITY COLLEGE BOND,858,547,1405,61.07
NC,2008-11-04,NEW HANOVER,CF06,CAPE FEAR COMMUNITY COLLEGE BOND,980,635,1615,60.68
NC,2008-11-04,NEW HANOVER,CURBSIDE,CAPE FEAR COMMUNITY COLLEGE BOND,11,2,13,84.62
NC,2008-11-04,NEW HANOVER,FP02,CAPE FEAR COMMUNITY COLLEGE BOND,841,602,1443,58.28
NC,2008-11-04,NEW HANOVER,FP03,CAPE FEAR COMMUNITY COLLEGE BOND,543,447,990,54.85
NC,2008-11-04,NEW HANOVER,FP04,CAPE FEAR COMMUNITY COLLEGE BOND,1226,914,2140,57.29
NC,2008-11-04,NEW HANOVER,FP05,CAPE FEAR COMMUNITY COLLEGE BOND,673,464,1137,59.19
NC,2008-11-04,NEW HANOVER,FP06,CAPE FEAR COMMUNITY COLLEGE BOND,1177,753,1930,60.98
NC,2008-11-04,NEW HANOVER,FP07,CAPE FEAR COMMUNITY COLLEGE BOND,1424,946,2370,60.08
NC,2008-11-04,NEW HANOVER,H01,CAPE FEAR COMMUNITY COLLEGE BOND,585,438,1023,57.18
NC,2008-11-04,NEW HANOVER,H02,CAPE FEAR COMMUNITY COLLEGE BOND,1090,870,1960,55.61
NC,2008-11-04,NEW HANOVER,H03,CAPE FEAR COMMUNITY COLLEGE BOND,1714,1117,2831,60.54
NC,2008-11-04,NEW HANOVER,H04,CAPE FEAR COMMUNITY COLLEGE BOND,1178,774,1952,60.35
NC,2008-11-04,NEW HANOVER,H05,CAPE FEAR COMMUNITY COLLEGE BOND,1076,900,1976,54.45
NC,2008-11-04,NEW HANOVER,H06,CAPE FEAR COMMUNITY COLLEGE BOND,1044,694,1738,60.07
NC,2008-11-04,NEW HANOVER,H08,CAPE FEAR COMMUNITY COLLEGE BOND,1910,1215,3125,61.12
NC,2008-11-04,NEW HANOVER,H09,CAPE FEAR COMMUNITY COLLEGE BOND,2279,1660,3939,57.86
NC,2008-11-04,NEW HANOVER,H10,CAPE FEAR COMMUNITY COLLEGE BOND,1337,715,2052,65.16
NC,2008-11-04,NEW HANOVER,H11,CAPE FEAR COMMUNITY COLLEGE BOND,1612,1118,2730,59.05
NC,2008-11-04,NEW HANOVER,M02,CAPE FEAR COMMUNITY COLLEGE BOND,2188,1405,3593,60.9
NC,2008-11-04,NEW HANOVER,M03,CAPE FEAR COMMUNITY COLLEGE BOND,1119,783,1902,58.83
NC,2008-11-04,NEW HANOVER,M04,CAPE FEAR COMMUNITY COLLEGE BOND,2226,1313,3539,62.9
NC,2008-11-04,NEW HANOVER,M06,CAPE FEAR COMMUNITY COLLEGE BOND,1038,728,1766,58.78
NC,2008-11-04,NEW HANOVER,M07,CAPE FEAR COMMUNITY COLLEGE BOND,611,497,1108,55.14
