AgencyCode,AgencyName,Cesa,ReferendumId,VoteDate,ReferendumTypeCode,ReferendumType,Amount,AnnualAmount,BriefDescription,FullDescription,YesVotes,NoVotes,ReferendumStatusCode,ReferendumStatus
0147,Appleton Area School District (0147),06,95,2005-02-15,RR,Recurring Referendum,1179000.0,,,expanding world language and physical education instruction at all district elementary schools.,6009,6154,FV,Failed
0147,Appleton Area School District (0147),06,96,2005-02-15,RR,Recurring Referendum,3370000.0,,,"lowering class size, updating text books and instructional materials, and replacing technology",7541,4650,PV,Passed
0147,Appleton Area School District (0147),06,97,2005-02-15,ID,Issue Debt,16860000.0,,School Improvement,"cost of remodeling, improving, upgrading, and adding to school buildings and grounds and acquiring and installing computers and other equipment.",7956,4280,PV,Passed
1855,Florence County School District (1855),08,915,2005-02-15,NR,Non-Recurring Referendum,750000.0,"2005-2006  750000.00,2006-2007  750000.00,2007-2008  750000.00",district operation and maintenance expenses,,1078,1124,FV,Failed
2044,Geneva J4 School District (2044),02,1026,2005-02-15,RR,Recurring Referendum,150000.0,,maintain current level of educational programming,,67,39,PV,Passed
2604,Howard-Suamico School District (2604),07,1377,2005-02-15,ID,Issue Debt,14700000.0,,,"cost of constructing, equipping and furnishing a new elementary school facility, construct additions to, renovating, remodeling, and upgrading, and acquiring furnishings and equipment for existing district facilities, site preparation and improvements at all construction sites, payment of related architectural and engineering fees and the cost of issuing of the Bonds",1347,4066,FV,Failed
3304,Marathon City School District (3304),09,1796,2005-02-15,ID,Issue Debt,6900000.0,,"Additions to and remodeling and renovating the high school, acquiring furnishings, fixtures and equipment","BE IT RESOLVED by the School Board of the School District of Marathon City, Marathon County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation school building bonds in an amount not to exceed $6,900,000 for the public purpose of paying the cost of constructing additions to and remodeling and renovating the high school; and acquiring furnishings, fixtures and equipment.",1004,920,PV,Passed
3304,Marathon City School District (3304),09,1797,2005-02-15,RR,Recurring Referendum,345000.0,,"Resolution Authorizing the School District Budget to Exceed Revenue Limit by $345,000 for Recurring Purposes","BE IT Resolved by the School Board of the School District of Marathon City, Marathon County, Wisconsin, that the revenues included in the School District budget for the 2005-06 school year and thereafter be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $345,000 a year, for recurring purposes.",1320,617,PV,Passed
3675,Monona Grove School District (3675),02,2036,2005-02-15,RR,Recurring Referendum,527000.0,,Referendum to exceed the Revenue Cap for the cost of staffing and operating new and expanded facilities.,"BE IT RESOLVED by the School Board of the Monona Grove School District, Dane County, Wisconsin, that the revenues included in the School District budget for the 2006-2007 school year and thereafter be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $527,000 a year, for recurring purposes consisting of staffing and operating new and expanded school facilities.",2080,3247,FV,Failed
3675,Monona Grove School District (3675),02,2037,2005-02-15,ID,Issue Debt,39900000.0,,School Construction and renovation. ,"BE IT RESOLVED by the School Board of the Monona Grove School District, Dane County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation school building bonds in an amount not to exceed $39,900,000 for the public purpose of paying the cost of constructing a new school in Cottage Grove for grades 5-8, including related site work; constructing additions to and remodeling and renovating Winnequah School, Cottage Grove School, and Maywood School; improving HVAC system at Taylor Prairie School; and acquiring furnishings, fixtures and equipment.",2003,3363,FV,Failed
4025,Oakfield School District (4025),06,2251,2005-02-15,NR,Non-Recurring Referendum,500000.0,"2005-2006  500000.00,2006-2007  500000.00,2007-2008  500000.00,2008-2009  500000.00",operation and maintenance expenses,,475,626,FV,Failed
4970,D C Everest Area School District (4970),09,2873,2005-02-15,ID,Issue Debt,18955000.0,,construct elementary school and complete various projects,"constructing a new elementary school; constructing additions adn undertaking maintenance, repair and remodeling projects at various school district buildings and sites; acquiring equipment, furnishings and fixtures, and acquiring land",2445,1973,PV,Passed
4970,D C Everest Area School District (4970),09,2874,2005-02-15,RR,Recurring Referendum,750000.0,"2005-2006  750000.00,2006-2007  750000.00",recurring purposes,,2352,2015,PV,Passed
5621,Stoughton Area School District (5621),02,3181,2005-02-15,NR,Non-Recurring Referendum,1420000.0,"2005-2006  1420000.00,2006-2007  2420000.00,2007-2008  3270000.00,2008-2009  4070000.00",Providing for the operational needs of the school district,"Be it resolved by the School Board of the Stoughton Area School District, Dane and Rock Counties, Wisconsin, that, for the purpose of providing for the operational needs of the school district, the school district budget for each of the 2005-06 through 2008-09 school years shall include the following amounts in excess of the revenue limits imposed by Section 121.91(2m), Wisconsin Statutes: for the 2005-06 school year an amount of $1420000 on a nonrecurring basis; for the 2006-07 school year an amount of $2420000 on a nonrecurring basis; for the 2007-08 school year an amount of $3270000 on a nonrecurring basis; and for the 2008-09 school year an amount of $4070000 on a nonrecurring basis.",1863,3368,FV,Failed
5656,Sun Prairie Area School District (5656),02,3226,2005-02-15,ID,Issue Debt,9530000.0,,acquire 2 parcels of land as future school sites,,2400,2159,PV,Passed
5656,Sun Prairie Area School District (5656),02,3227,2005-02-15,NR,Non-Recurring Referendum,419282.0,"2005-2006  419282.00,2006-2007  419282.00,2007-2008  419282.00,2008-2009  279520.00,2009-2010  139760.00",operation and maintenance costs for the Horizon Elementary School,,2298,2252,PV,Passed
5901,Verona Area School District (5901),02,3359,2005-02-15,RR,Recurring Referendum,650000.0,,recurring purposes,,1724,1438,PV,Passed
5901,Verona Area School District (5901),02,3360,2005-02-15,ID,Issue Debt,17985000.0,,"acquire land, construct new elementary school and related site work, construct addition to and remodel and renovate Stoner Prairie Elementary school, infrastructure improvements, and furnishings, fixtures, equipment",,1846,1325,PV,Passed
6181,Waunakee Community School District (6181),02,3490,2005-02-15,ID,Issue Debt,20750000.0,,"construction and equipping of new elementary school; renovate, remodel, construction of an addition to and acquisition of equipment for existing middle school; renovate and upgrades to and acquisition of equipement for Heritage/Intermeditate School.",,1874,1164,PV,Passed
6181,Waunakee Community School District (6181),02,3491,2005-02-15,ID,Issue Debt,2200000.0,,financing and constructing and equipping of a gymnasium for the middle school and related costs.,,1632,1388,PV,Passed
