fips,NAME,state_abb,year,dem_share2p,source,tier,measured,est_mad_pp,flag
107000,Birmingham,AL,2004,0.7721,county-rescale-BG16-corr,estimated,False,3.15,
107000,Birmingham,AL,2008,0.8185,rebuilt-EDA-precinct,precinct,True,,
107000,Birmingham,AL,2012,0.8187,county-rescale-BG16-corr,estimated,False,1.74,
107000,Birmingham,AL,2016,0.8212,Fekrazad-RLCR,precinct,True,,
107000,Birmingham,AL,2020,0.8338,Fekrazad-RLCR,precinct,True,,
107000,Birmingham,AL,2024,0.7938,Metcalf+NYT,precinct,True,,
120104,Decatur,AL,2004,0.416,county-rescale-BG16-corr,estimated,False,3.15,
120104,Decatur,AL,2008,0.3722,rebuilt-EDA-precinct,precinct,True,,
120104,Decatur,AL,2012,0.383,county-rescale-BG16-corr,estimated,False,1.74,
120104,Decatur,AL,2016,0.3429,Fekrazad-RLCR,precinct,True,,
120104,Decatur,AL,2020,0.393,Fekrazad-RLCR,precinct,True,,
120104,Decatur,AL,2024,0.3841,Metcalf+NYT,precinct,True,,
121184,Dothan,AL,2004,0.3042,county-rescale-BG16-corr,estimated,False,3.15,
121184,Dothan,AL,2008,0.3402,rebuilt-EDA-precinct,precinct,True,,
121184,Dothan,AL,2012,0.3526,county-rescale-BG16-corr,estimated,False,1.74,
121184,Dothan,AL,2016,0.318,Fekrazad-RLCR,precinct,True,,
121184,Dothan,AL,2020,0.3544,Fekrazad-RLCR,precinct,True,,
121184,Dothan,AL,2024,0.3336,Metcalf+NYT,precinct,True,,
135896,Hoover,AL,2004,0.2493,county-rescale-BG16-corr,estimated,False,3.15,
135896,Hoover,AL,2008,0.2765,rebuilt-EDA-precinct,precinct,True,,
135896,Hoover,AL,2012,0.3017,county-rescale-BG16-corr,estimated,False,1.74,
135896,Hoover,AL,2016,0.3386,Fekrazad-RLCR,precinct,True,,
135896,Hoover,AL,2020,0.4073,Fekrazad-RLCR,precinct,True,,
135896,Hoover,AL,2024,0.3822,Metcalf+NYT,precinct,True,,
137000,Huntsville,AL,2004,0.4808,county-rescale-BG16-corr,estimated,False,3.15,
137000,Huntsville,AL,2008,0.4986,rebuilt-EDA-precinct,precinct,True,,
137000,Huntsville,AL,2012,0.4795,county-rescale-BG16-corr,estimated,False,1.74,
137000,Huntsville,AL,2016,0.4846,Fekrazad-RLCR,precinct,True,,
137000,Huntsville,AL,2020,0.5342,Fekrazad-RLCR,precinct,True,,
137000,Huntsville,AL,2024,0.5229,Metcalf+NYT,precinct,True,,
150000,Mobile,AL,2004,0.5498,county-rescale-BG16-corr,estimated,False,3.15,
150000,Mobile,AL,2008,0.581,rebuilt-EDA-precinct,precinct,True,,
150000,Mobile,AL,2012,0.5937,county-rescale-BG16-corr,estimated,False,1.74,
150000,Mobile,AL,2016,0.5872,Fekrazad-RLCR,precinct,True,,
150000,Mobile,AL,2020,0.6028,Fekrazad-RLCR,precinct,True,,
150000,Mobile,AL,2024,0.5751,Metcalf+NYT,precinct,True,,
151000,Montgomery,AL,2004,0.534,county-rescale-BG16-corr,estimated,False,3.15,
151000,Montgomery,AL,2008,0.6202,rebuilt-EDA-precinct,precinct,True,,
151000,Montgomery,AL,2012,0.6478,county-rescale-BG16-corr,estimated,False,1.74,
151000,Montgomery,AL,2016,0.6624,Fekrazad-RLCR,precinct,True,,
151000,Montgomery,AL,2020,0.6946,Fekrazad-RLCR,precinct,True,,
151000,Montgomery,AL,2024,0.702,Metcalf+NYT,precinct,True,,
177256,Tuscaloosa,AL,2004,0.5302,county-rescale-BG16-corr,estimated,False,3.15,
177256,Tuscaloosa,AL,2008,0.5457,rebuilt-EDA-precinct,precinct,True,,
177256,Tuscaloosa,AL,2012,0.5614,county-rescale-BG16-corr,estimated,False,1.74,
177256,Tuscaloosa,AL,2016,0.572,Fekrazad-RLCR,precinct,True,,
177256,Tuscaloosa,AL,2020,0.6154,Fekrazad-RLCR,precinct,True,,
177256,Tuscaloosa,AL,2024,0.5652,Metcalf+NYT,precinct,True,,
203000,Anchorage,AK,2004,0.3809,district-areal-2004,district,True,,
