file_stem,url,retrieved,http_status,bytes,sha256,note
MS_21-33-307_HB711-2023-reprint,https://billstatus.ls.state.ms.us/documents/2023/html/HB/0700-0799/HB0711IN.htm,2026-08-25,200,37717,33dd30fec90c894ae6f50a66ce91a7059bb48327f372d1b2d1b47a4be2531712,"Miss. Code 21-33-307 as set out verbatim in MS HB 711 (2023, as introduced); official code portal is LexisNexis-only and mirrors block automated retrieval -- verify against enacted text at ruling time"
TN_9-21-205_lawserver,https://www.lawserver.com/law/state/tennessee/tn-code/tennessee_code_9-21-205,2026-08-25,200,140916,d1b8fd4845e213d55767e790d226cffa4558aa02e65861b19ac5568d97588894,Tenn. Code Ann. 9-21-205 (LawServer mirror; official code portal is LexisNexis-only)
TN_9-21-206_lawserver,https://www.lawserver.com/law/state/tennessee/tn-code/tennessee_code_9-21-206,2026-08-25,200,127536,0f04834799853b9d5bfd73ff1d996a064e20c8b107ea174a1156ddda583f5045,Tenn. Code Ann. 9-21-206 (protest petition mechanics)
TN_9-21-207_lawserver,https://www.lawserver.com/law/state/tennessee/tn-code/tennessee_code_9-21-207,2026-08-25,200,135309,e978665ae4595cb5c4825446a2e14943ad597559439cf76c6a2b4c90376b5688,Tenn. Code Ann. 9-21-207 (election after petition)
WI_stat_ch67,https://docs.legis.wisconsin.gov/statutes/statutes/67.pdf,2026-08-25,200,335702,39ee370e1d829882baed0b9803dd85cf322b7eb677fccfecef93d1d072651d68,Wis. Stat. ch. 67 (official PDF; 67.05 is the referendum section)
MA_MGL_c44_s7,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleVII/Chapter44/Section7,2026-08-25,200,262263,99dd261aae9e039ef9dcad7ff4cfdf614a18411e6e7970bd10e38d4633d115ec,M.G.L. c.44 s.7 (city/town borrowing purposes; two-thirds vote)
MA_MGL_c44_s8,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleVII/Chapter44/Section8,2026-08-25,200,273285,fb0178d26ff7354cdf27e55697089136428b6b1e48beafa1a347bd5d2257e285,M.G.L. c.44 s.8 (borrowing purposes continued)
MA_MGL_c59_s21C,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIX/Chapter59/Section21C,2026-08-25,200,284545,71f3bf1b53332cbbc7b04e8ec3b5c4164e5be057b4bba86a89d8111f4abce3a0,M.G.L. c.59 s.21C (Proposition 2-1/2; debt-exclusion ballot is a tax question)
ME_30A_5772,https://legislature.maine.gov/statutes/30-A/title30-Asec5772.html,2026-08-25,200,94117,b022f46bc7435136a083b07a6e614ce69263a30e4675f952b0caeaf37586de06,30-A M.R.S. 5772 (municipal bonds; town-meeting authorisation)
NH_RSA_33-8,https://www.gencourt.state.nh.us/rsa/html/III/33/33-8.htm,2026-08-25,200,29326,b5e7d17d6e101b4d38a3b934d16a15a790d3bfb8cb2aaedd3afd494cfc82979e,N.H. RSA 33:8 (two-thirds/three-fifths meeting vote)
NH_RSA_33-8-a,https://www.gencourt.state.nh.us/rsa/html/III/33/33-8-a.htm,2026-08-25,200,31146,96dfc67351fa06c77c9febc07d08588de6069207df64cf480308e950d63b281d,N.H. RSA 33:8-a (ballot vote at SB2 meetings)
KY_Const_s157,https://apps.legislature.ky.gov/Law/Constitution/Constitution/ViewConstitution?rsn=183,2026-08-25,200,5047,3b838801333c96abc726afa26e96090a0a514a7b2bb2f97ea114a42102a87c34,Ky. Const. s.157 (tax-rate limits; voter assent for excess)
KY_Const_s158,https://apps.legislature.ky.gov/Law/Constitution/Constitution/ViewConstitution?rsn=184,2026-08-25,200,5713,8a214d2765fb9d63bdee40da7b1cc46555535fa95e6cebf440e9693b42bbef99,Ky. Const. s.158 (indebtedness limits)
KY_KRS_ch66_index,https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=37351,2026-08-25,200,281725,f728ae5e85c3b9509e8e1678e6db9018b9952c0c6281cc2d4e7a1dcdc2eb4e16,KRS ch. 66 (Issuance of Bonds and Control of Funds) -- official section index
VA_Const_artVII_s10,https://law.lis.virginia.gov/constitution/article7/section10/,2026-08-25,200,98972,9a37bf5f328cabed9c30d69e154ebaee83415ce4c90400e343e9814c23e032c5,Va. Const. art. VII s.10 (county referendum requirement; city/town exemption)
IL_65ILCS5_art8_div4,https://www.ilga.gov/legislation/ILCS/details?MajorTopic=GOVERNMENT&Chapter=MUNICIPALITIES&ActName=Illinois%20Municipal%20Code.&ActID=802&ChapterID=14&ChapAct=65%20ILCS%205%2F&SeqStart=84900000&SeqEnd=87700000,2026-08-25,200,342259,2e44606311171d63af40a4b907be719dcc134bca72e2d6cfc7df1d8c6ce7a45f,65 ILCS 5/ Art. 8 Div. 4 (Issuance of Bonds; 8-4-1 referendum + home-rule exemption)
